ID;Lake;Depth;Replicate;Timepoint;DOC;Standard 1;Standard 10;Standard 100
AR-3-46;Ar;46;;0;NA;NA;NA;NA
AR-3-46-C-1;Ar;46;C;65;7.55;0,85;9,72;NA
AR-3-46-D-1;Ar;46;D;65;7.31;0,85;9,72;NA
AR-3-46-C-2;Ar;46;C;209.66;7.81;0,85;9,72;NA
AR-3-46-D-2;Ar;46;D;209.66;7.36;0,85;9,72;NA
AR-3-46-C-3;Ar;46;C;354.4933333;7.43;0,85;9,72;NA
AR-3-46-D-3;Ar;46;D;354.4933333;7.21;0,85;9,72;NA
Ar-3-46-C-4;Ar;46;C;504.9933333;6.85;NA;10,2;104
Ar-3-46-D-4;Ar;46;D;504.9933333;6.94;NA;10,2;104
AR-3-47.5;Ar;47.5;;0;8.40;0,85;9,68;NA
AR-3-47.5-C-1;Ar;47.5;C;65;7.74;0,85;9,72;NA
AR-3-47.5-D-1;Ar;47.5;D;65;7.67;0,85;9,72;NA
AR-3-47.5-C-2;Ar;47.5;C;209.66;7.54;0,85;9,72;NA
AR-3-47.5-D-2;Ar;47.5;D;209.66;7.48;0,85;9,72;NA
AR-3-47.5-C-3;Ar;47.5;C;354.4933333;7.64;0,85;9,72;NA
AR-3-47.5-D-3;Ar;47.5;D;354.4933333;7.48;0,85;9,72;NA
Ar-3-47.5-C-4;Ar;47.5;C;504.9933333;6.70;NA;10,2;104
Ar-3-47.5-D-4;Ar;47.5;D;504.9933333;7.27;NA;10,2;104
FUKUNO-3-3;FukuNO;3;;0;13.1;0,85;9,68;NA
FUKUNO-3-3-C-1;FukuNO;3;C;97.8;13.5;0,85;9,72;NA
FUKUNO-3-3-D-1;FukuNO;3;D;97.8;13.6;0,85;9,72;NA
FukuNO-3-3-C-2;FukuNO;3;C;215.9166667;12.87;NA;9,26;102
FukuNO-3-3-D-2;FukuNO;3;D;215.9166667;12.77;NA;9,26;102
FukuNO-3-3-C-3;FukuNO;3;C;337.5;12.21;NA;9,26;102
FukuNO-3-3-D-3;FukuNO;3;D;337.5;12.38;NA;9,26;102
FukuNO-3-3-C-4;FukuNO;3;C;503.5;12.59;NA;9,26;102
FukuNO-3-3-D-4;FukuNO;3;D;503.5;12.16;NA;9,26;102
FUKUNO-3-4;FukuNO;4;;0;14.9;0,85;9,68;NA
FUKUNO-3-4-C-1;FukuNO;4;C;97.8;14.2;0,85;9,72;NA
FUKUNO-3-4-D-1;FukuNO;4;D;97.8;14.0;0,85;9,72;NA
FukuNO-3-4-C-2;FukuNO;4;C;215.9166667;13.41;NA;9,26;102
FukuNO-3-4-D-2;FukuNO;4;D;215.9166667;13.25;NA;9,26;102
FukuNO-3-4-C-3;FukuNO;4;C;337.5;12.77;NA;9,26;102
FukuNO-3-4-D-3;FukuNO;4;D;337.5;13.23;NA;9,26;102
FukuNO-3-4-C-4;FukuNO;4;C;503.5;12.86;NA;9,26;102
FukuNO-3-4-D-4;FukuNO;4;D;503.5;12.64;NA;9,26;102
FUKUSW-3-3;FukuSW;3;;0;47.2;0,85;9,68;NA
FUKUSW-3-3-C-1;FukuSW;3;C;95.8;48.1;0,85;9,72;NA
FUKUSW-3-3-D-1;FukuSW;3;D;95.8;47.6;0,85;9,72;NA
FukuSW-3-3-C-2;FukuSW;3;C;213.9166667;46.14;NA;9,26;102
