ID,Lake,Depth,Replicate,Timepoint,DOC
AR-3-46,Ar,46,,0,NA
AR-3-46-C-1,Ar,46,C,65,7.55
AR-3-46-D-1,Ar,46,D,65,7.31
AR-3-46-C-2,Ar,46,C,209.66,7.81
AR-3-46-D-2,Ar,46,D,209.66,7.36
AR-3-46-C-3,Ar,46,C,354.4933333,7.43
AR-3-46-D-3,Ar,46,D,354.4933333,7.21
Ar-3-46-C-4,Ar,46,C,504.9933333,6.85
Ar-3-46-D-4,Ar,46,D,504.9933333,6.94
AR-3-47.5,Ar,47.5,,0,8.40
AR-3-47.5-C-1,Ar,47.5,C,65,7.74
AR-3-47.5-D-1,Ar,47.5,D,65,7.67
AR-3-47.5-C-2,Ar,47.5,C,209.66,7.54
AR-3-47.5-D-2,Ar,47.5,D,209.66,7.48
AR-3-47.5-C-3,Ar,47.5,C,354.4933333,7.64
AR-3-47.5-D-3,Ar,47.5,D,354.4933333,7.48
Ar-3-47.5-C-4,Ar,47.5,C,504.9933333,6.70
Ar-3-47.5-D-4,Ar,47.5,D,504.9933333,7.27
FUKUNO-3-3,FukuNO,3,,0,13.1
FUKUNO-3-3-C-1,FukuNO,3,C,97.8,13.5
FUKUNO-3-3-D-1,FukuNO,3,D,97.8,13.6
FukuNO-3-3-C-2,FukuNO,3,C,215.9166667,12.87
FukuNO-3-3-D-2,FukuNO,3,D,215.9166667,12.77
FukuNO-3-3-C-3,FukuNO,3,C,337.5,12.21
FukuNO-3-3-D-3,FukuNO,3,D,337.5,12.38
FukuNO-3-3-C-4,FukuNO,3,C,503.5,12.59
FukuNO-3-3-D-4,FukuNO,3,D,503.5,12.16
FUKUNO-3-4,FukuNO,4,,0,14.9
FUKUNO-3-4-C-1,FukuNO,4,C,97.8,14.2
FUKUNO-3-4-D-1,FukuNO,4,D,97.8,14.0
FukuNO-3-4-C-2,FukuNO,4,C,215.9166667,13.41
FukuNO-3-4-D-2,FukuNO,4,D,215.9166667,13.25
FukuNO-3-4-C-3,FukuNO,4,C,337.5,12.77
FukuNO-3-4-D-3,FukuNO,4,D,337.5,13.23
FukuNO-3-4-C-4,FukuNO,4,C,503.5,12.86
FukuNO-3-4-D-4,FukuNO,4,D,503.5,12.64
FUKUSW-3-3,FukuSW,3,,0,47.2
FUKUSW-3-3-C-1,FukuSW,3,C,95.8,48.1
FUKUSW-3-3-D-1,FukuSW,3,D,95.8,47.6
FukuSW-3-3-C-2,FukuSW,3,C,213.9166667,46.14
FukuSW-3-3-D-2,FukuSW,3,D,213.9166667,45.37
FukuSW-3-3-C-3,FukuSW,3,C,335.5,45.82
FukuSW-3-3-D-3,FukuSW,3,D,335.5,45.62
FukuSW-3-3-C-4,FukuSW,3,C,503.5,45.3
FukuSW-3-3-D-4,FukuSW,3,D,503.5,44.3
FUKUSW-3-4,FukuSW,4,,0,53.9
FUKUSW-3-4-C-1,FukuSW,4,C,95.8,53.9
FUKUSW-3-4-D-1,FukuSW,4,D,95.8,53.9
FukuSW-3-4-C-2,FukuSW,4,C,213.9166667,52.18
FukuSW-3-4-D-2,FukuSW,4,D,213.9166667,50.98
FukuSW-3-4-C-3,FukuSW,4,C,335.5,52.1
FukuSW-3-4-D-3,FukuSW,4,D,335.5,51.53
FukuSW-3-4-C-4,FukuSW,4,C,503.5,50.77
FukuSW-3-4-D-4,FukuSW,4,D,503.5,50.33
GG-3-8,Gg,8,,0,6.52
GG-3-8-C-1,Gg,8,C,65,6.67
GG-3-8-D-1,Gg,8,D,65,6.77
GG-3-8-C-2,Gg,8,C,240.4166667,7.97
GG-3-8-D-2,Gg,8,D,240.4166667,7.26
Gg-3-8-C-3,Gg,8,C,360.8333333,6.20
Gg-3-8-D-3,Gg,8,D,360.8333333,6.28
Gg-3-8-C-4,Gg,8,C,504.5,6.74
Gg-3-8-D-4,Gg,8,D,504.5,6.79
GG-3-9,Gg,9,,0,6.97
GG-3-9-C-1,Gg,9,C,65,6.76
GG-3-9-D-1,Gg,9,D,65,6.76
GG-3-9-C-2,Gg,9,C,240.4166667,7.35
GG-3-9-D-2,Gg,9,D,240.4166667,6.78
Gg-3-9-C-3,Gg,9,C,360.8333333,6.81
Gg-3-9-D-3,Gg,9,D,360.8333333,7.23
Gg-3-9-C-4,Gg,9,C,504.5,6.55
Gg-3-9-D-4,Gg,9,D,504.5,6.46
HS-3-9,Hs,9,,0,6.79
HS-3-9-C-1,Hs,9,C,73.41666667,6.76
HS-3-9-D-1,Hs,9,D,73.41666667,6.79
Hs-3-9-C-2,Hs,9,C,216.3333333,6.96
Hs-3-9-D-2,Hs,9,D,216.3333333,5.82
Hs-3-9-C-3,Hs,9,C,335.75,6.49
Hs-3-9-D-3,Hs,9,D,335.75,6.11
Hs-3-9-C-4,Hs,9,C,505.75,6.36
Hs-3-9-D-4,Hs,9,D,505.75,6.61
HS-3-11,Hs,11,,0,7.24
HS-3-11-C-1,Hs,11,C,73.41666667,6.96
HS-3-11-D-1,Hs,11,D,73.41666667,6.82
Hs-3-11-C-2,Hs,11,C,216.3333333,6.43
Hs-3-11-D-2,Hs,11,D,216.3333333,6.66
Hs-3-11-C-3,Hs,11,C,335.75,6.91
Hs-3-11-D-3,Hs,11,D,335.75,6.53
Hs-3-11-C-4,Hs,11,C,505.75,6.80
Hs-3-11-D-4,Hs,11,D,505.75,6.78
SC-3-27,Sc,27,,0,5.82
SC-3-27-C-1,Sc,27,C,89,6.00
SC-3-27-D-1,Sc,27,D,89,5.76
SC-3-27-C-2,Sc,27,C,193.8666667,5.87
SC-3-27-D-2,Sc,27,D,193.8666667,5.99
Sc-3-27-C-3,Sc,27,C,336.4166667,5.99
Sc-3-27-D-3,Sc,27,D,336.4166667,5.16
Sc-3-27-C-4,Sc,27,C,503.5,5.89
Sc-3-27-D-4,Sc,27,D,503.5,5.17
SC-3-29,Sc,29,,0,5.82
SC-3-29-C-1,Sc,29,C,89,5.53
SC-3-29-D-1,Sc,29,D,89,5.70
SC-3-29-C-2,Sc,29,C,193.8666667,5.78
SC-3-29-D-2,Sc,29,D,193.8666667,5.45
Sc-3-29-C-3,Sc,29,C,336.4166667,5.55
Sc-3-29-D-3,Sc,29,D,336.4166667,6.29
Sc-3-29-C-4,Sc,29,C,503.5,5.19
Sc-3-29-D-4,Sc,29,D,503.5,5.19
ST-3-34,St,34,,0,4.38
ST-3-34-C-1,St,34,C,49.16666667,5.28
ST-3-34-D-1,St,34,D,49.16666667,4.72
ST-3-34-C-2,St,34,C,120.5833333,4.93
ST-3-34-D-2,St,34,D,120.5833333,5.31
St-3-34-C-3,St,34,C,240.7,4.122
St-3-34-D-3,St,34,D,240.7,4.639
St-3-34-C-4,St,34,C,338,4.79
St-3-34-D-4,St,34,D,338,4.333
St-3-34-C-5,St,34,C,504.5833333,4.58
St-3-34-D-5,St,34,D,504.5833333,3.905
