"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
0,25.257,0.309,0.6381,634.51,997.214,2.64,2.36,115.87,9.491,"Ar"
0.1,25.244,0.308,0.6376,634.226,997.217,3.12,2.52,121.99,9.995,"Ar"
0.2,25.234,0.309,0.6379,634.635,997.221,3.18,2.66,124.53,10.205,"Ar"
0.3,25.23,0.309,0.6377,634.519,997.222,3.33,2.78,126.08,10.33,"Ar"
0.4,25.217,0.309,0.6377,634.681,997.226,3.35,2.85,127.63,10.461,"Ar"
0.5,25.216,0.309,0.6376,634.537,997.227,3.52,2.89,129.07,10.578,"Ar"
0.6,25.215,0.309,0.6377,634.714,997.227,3.59,3.09,129.6,10.622,"Ar"
0.7,25.207,0.309,0.6377,634.798,997.23,3.58,3.05,129.78,10.638,"Ar"
0.8,25.208,0.309,0.6376,634.733,997.23,3.71,2.89,130.14,10.668,"Ar"
0.9,25.163,0.309,0.6369,634.631,997.242,3.82,2.95,130.23,10.681,"Ar"
1,25.131,0.309,0.6367,634.902,997.251,3.89,2.82,130.51,10.716,"Ar"
1.1,25.094,0.309,0.6363,635.017,997.261,3.95,2.77,130.75,10.738,"Ar"
1.2,25.058,0.309,0.636,635.203,997.271,4.03,2.62,130.48,10.72,"Ar"
1.3,24.999,0.309,0.6353,635.279,997.286,4.15,2.77,130.56,10.74,"Ar"
1.4,24.914,0.309,0.6344,635.594,997.309,3.95,2.59,130.72,10.766,"Ar"
1.5,24.896,0.309,0.6344,635.895,997.314,3.92,2.73,130.59,10.764,"Ar"
1.6,24.772,0.31,0.6338,637.044,997.346,4.13,2.46,129.83,10.706,"Ar"
1.7,24.715,0.309,0.6313,635.237,997.36,4.43,2.82,129.71,10.725,"Ar"
1.8,24.611,0.309,0.6306,636.004,997.388,4.19,3.06,129.34,10.72,"Ar"
1.9,24.638,0.309,0.6312,636.264,997.381,4.18,2.89,128.67,10.665,"Ar"
2,24.572,0.309,0.6299,635.854,997.398,4.09,2.78,128.65,10.671,"Ar"
2.1,24.447,0.309,0.6283,636.072,997.43,4.37,2.73,128.68,10.696,"Ar"
2.2,24.315,0.309,0.6266,636.2,997.464,4.39,2.81,128.85,10.737,"Ar"
2.3,24.21,0.31,0.6271,638.227,997.491,4.32,3.16,128.28,10.707,"Ar"
2.4,24.194,0.309,0.6262,637.526,997.495,4.59,2.89,127.81,10.671,"Ar"
2.5,24.169,0.31,0.6261,637.767,997.502,4.65,2.62,127.01,10.61,"Ar"
2.6,24.141,0.31,0.6261,638.168,997.509,4.26,2.71,126.03,10.535,"Ar"
2.7,24.121,0.31,0.6258,638.166,997.515,4.35,2.71,124.93,10.446,"Ar"
2.8,24.045,0.31,0.625,638.363,997.534,4.39,2.48,124.09,10.393,"Ar"
2.9,23.985,0.31,0.6251,639.385,997.55,4.73,2.31,121.69,10.205,"Ar"
3,23.968,0.31,0.6246,639.091,997.554,4.57,2.42,120.82,10.136,"Ar"
3.1,23.893,0.311,0.625,640.609,997.574,4.46,2,117.83,9.892,"Ar"
3.2,23.853,0.311,0.6242,640.384,997.584,4.49,3.06,116.42,9.781,"Ar"
3.3,23.681,0.311,0.6232,641.846,997.627,4.71,1.93,115.25,9.725,"Ar"
3.4,23.416,0.312,0.6214,643.815,997.693,4.18,1.64,112.07,9.492,"Ar"
3.5,23.217,0.313,0.6214,646.748,997.742,3.78,1.53,106.11,9.018,"Ar"
3.6,23.125,0.313,0.6201,646.746,997.764,3.87,1.49,97.12,8.264,"Ar"
3.7,23.038,0.314,0.6194,647.328,997.786,3.33,1.4,87.65,7.476,"Ar"
3.8,22.942,0.314,0.6181,647.38,997.809,3.46,1.47,77.14,6.591,"Ar"
3.9,22.715,0.314,0.616,648.653,997.863,3.4,1.53,66.87,5.737,"Ar"
4,22.388,0.315,0.6136,650.987,997.941,3.19,1.78,59.47,5.136,"Ar"
4.1,22.198,0.314,0.6093,649.308,997.984,2.87,2,55.75,4.835,"Ar"
4.2,21.984,0.316,0.6107,654.146,998.035,2.81,2.13,43.84,3.814,"Ar"
4.3,22.004,0.315,0.608,650.928,998.03,2.92,2.17,31.55,2.745,"Ar"
4.4,21.899,0.315,0.6072,651.618,998.054,3.05,2.36,25.75,2.245,"Ar"
4.5,21.783,0.315,0.6064,652.623,998.081,3.07,2.5,17.84,1.558,"Ar"
4.6,21.765,0.315,0.6048,651.16,998.085,3.45,2.99,15.7,1.373,"Ar"
4.7,21.446,0.315,0.6017,652.76,998.157,3.89,2.7,10.73,0.942,"Ar"
4.8,21.12,0.317,0.6005,656.508,998.231,3.91,1.89,8.54,0.756,"Ar"
4.9,20.897,0.317,0.5976,656.899,998.28,4.17,1.74,6.93,0.616,"Ar"
5,20.59,0.318,0.5955,659.496,998.347,4.95,2.06,5.14,0.458,"Ar"
5.1,20.24,0.318,0.5913,660.501,998.422,5.42,2.55,3.52,0.317,"Ar"
5.2,19.813,0.318,0.5857,661.099,998.51,7.18,2.71,2.74,0.249,"Ar"
5.3,19.433,0.32,0.5852,666.842,998.59,7.56,2.29,1.73,0.158,"Ar"
5.4,19.034,0.321,0.5811,668.902,998.67,7.73,2.28,1.15,0.106,"Ar"
5.5,18.938,0.319,0.5772,666.059,998.688,7.84,2.24,0.96,0.088,"Ar"
5.6,18.834,0.32,0.5769,667.465,998.71,8.03,2.1,0.8,0.074,"Ar"
