"Lake","Parameter","Value"
"FukuNO","Depth_m",0
"FukuNO","T_C",21.002
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0247
"FukuNO","EC25_uScm",27.061
"FukuNO","Density_kgm3",998.008
"FukuNO","Chla_ugL",7.5
"FukuNO","Turbidity_FTU",1.13
"FukuNO","DO_pc",103.48
"FukuNO","DO_mgL",9.211
"FukuNO","Depth_m",0.1
"FukuNO","T_C",21.101
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0246
"FukuNO","EC25_uScm",26.958
"FukuNO","Density_kgm3",997.987
"FukuNO","Chla_ugL",6.87
"FukuNO","Turbidity_FTU",0.74
"FukuNO","DO_pc",102.5
"FukuNO","DO_mgL",9.115
"FukuNO","Depth_m",0.2
"FukuNO","T_C",21.113
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0245
"FukuNO","EC25_uScm",26.788
"FukuNO","Density_kgm3",997.985
"FukuNO","Chla_ugL",7.07
"FukuNO","Turbidity_FTU",0.68
"FukuNO","DO_pc",101.74
"FukuNO","DO_mgL",9.047
"FukuNO","Depth_m",0.3
"FukuNO","T_C",21.115
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0243
"FukuNO","EC25_uScm",26.588
"FukuNO","Density_kgm3",997.985
"FukuNO","Chla_ugL",7.81
"FukuNO","Turbidity_FTU",0.67
"FukuNO","DO_pc",100.54
"FukuNO","DO_mgL",8.939
"FukuNO","Depth_m",0.4
"FukuNO","T_C",21.091
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0241
"FukuNO","EC25_uScm",26.386
"FukuNO","Density_kgm3",997.99
"FukuNO","Chla_ugL",7.94
"FukuNO","Turbidity_FTU",0.79
"FukuNO","DO_pc",100.04
"FukuNO","DO_mgL",8.895
"FukuNO","Depth_m",0.5
"FukuNO","T_C",21.046
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.024
"FukuNO","EC25_uScm",26.251
"FukuNO","Density_kgm3",998
"FukuNO","Chla_ugL",8.12
"FukuNO","Turbidity_FTU",0.67
"FukuNO","DO_pc",99.14
"FukuNO","DO_mgL",8.822
"FukuNO","Depth_m",0.6
"FukuNO","T_C",21.021
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0239
"FukuNO","EC25_uScm",26.191
"FukuNO","Density_kgm3",998.006
"FukuNO","Chla_ugL",10.9
"FukuNO","Turbidity_FTU",0.74
"FukuNO","DO_pc",98.47
"FukuNO","DO_mgL",8.768
"FukuNO","Depth_m",0.7
"FukuNO","T_C",20.935
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0238
"FukuNO","EC25_uScm",26.148
"FukuNO","Density_kgm3",998.025
"FukuNO","Chla_ugL",11.57
"FukuNO","Turbidity_FTU",0.81
"FukuNO","DO_pc",97.89
"FukuNO","DO_mgL",8.731
"FukuNO","Depth_m",0.8
"FukuNO","T_C",20.876
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0237
"FukuNO","EC25_uScm",26.106
"FukuNO","Density_kgm3",998.039
"FukuNO","Chla_ugL",12.23
"FukuNO","Turbidity_FTU",0.78
"FukuNO","DO_pc",97.08
"FukuNO","DO_mgL",8.668
"FukuNO","Depth_m",0.9
"FukuNO","T_C",20.824
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0236
"FukuNO","EC25_uScm",26.012
"FukuNO","Density_kgm3",998.05
"FukuNO","Chla_ugL",14.68
"FukuNO","Turbidity_FTU",1.14
"FukuNO","DO_pc",96.58
"FukuNO","DO_mgL",8.629
"FukuNO","Depth_m",1
"FukuNO","T_C",20.807
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0235
"FukuNO","EC25_uScm",25.924
"FukuNO","Density_kgm3",998.054
"FukuNO","Chla_ugL",15.82
"FukuNO","Turbidity_FTU",0.97
"FukuNO","DO_pc",95.79
"FukuNO","DO_mgL",8.561
"FukuNO","Depth_m",1.1
"FukuNO","T_C",20.791
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0234
"FukuNO","EC25_uScm",25.836
"FukuNO","Density_kgm3",998.058
"FukuNO","Chla_ugL",19.1
"FukuNO","Turbidity_FTU",1.2
"FukuNO","DO_pc",95.6
"FukuNO","DO_mgL",8.544
"FukuNO","Depth_m",1.2
"FukuNO","T_C",20.761
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0234
"FukuNO","EC25_uScm",25.796
"FukuNO","Density_kgm3",998.065
"FukuNO","Chla_ugL",28.62
"FukuNO","Turbidity_FTU",1.59
"FukuNO","DO_pc",94.99
"FukuNO","DO_mgL",8.496
"FukuNO","Depth_m",1.3
"FukuNO","T_C",20.699
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0233
"FukuNO","EC25_uScm",25.784
"FukuNO","Density_kgm3",998.079
"FukuNO","Chla_ugL",51.86
"FukuNO","Turbidity_FTU",2.62
"FukuNO","DO_pc",94.56
"FukuNO","DO_mgL",8.468
"FukuNO","Depth_m",1.4
"FukuNO","T_C",20.663
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0233
"FukuNO","EC25_uScm",25.793
"FukuNO","Density_kgm3",998.087
"FukuNO","Chla_ugL",60.28
"FukuNO","Turbidity_FTU",3.31
