"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
0,21.002,0.019,0.0247,27.061,998.008,7.5,1.13,103.48,9.211,"FukuNO"
0.1,21.101,0.019,0.0246,26.958,997.987,6.87,0.74,102.5,9.115,"FukuNO"
0.2,21.113,0.019,0.0245,26.788,997.985,7.07,0.68,101.74,9.047,"FukuNO"
0.3,21.115,0.019,0.0243,26.588,997.985,7.81,0.67,100.54,8.939,"FukuNO"
0.4,21.091,0.019,0.0241,26.386,997.99,7.94,0.79,100.04,8.895,"FukuNO"
0.5,21.046,0.019,0.024,26.251,998,8.12,0.67,99.14,8.822,"FukuNO"
0.6,21.021,0.019,0.0239,26.191,998.006,10.9,0.74,98.47,8.768,"FukuNO"
0.7,20.935,0.019,0.0238,26.148,998.025,11.57,0.81,97.89,8.731,"FukuNO"
0.8,20.876,0.019,0.0237,26.106,998.039,12.23,0.78,97.08,8.668,"FukuNO"
0.9,20.824,0.019,0.0236,26.012,998.05,14.68,1.14,96.58,8.629,"FukuNO"
1,20.807,0.019,0.0235,25.924,998.054,15.82,0.97,95.79,8.561,"FukuNO"
1.1,20.791,0.019,0.0234,25.836,998.058,19.1,1.2,95.6,8.544,"FukuNO"
1.2,20.761,0.019,0.0234,25.796,998.065,28.62,1.59,94.99,8.496,"FukuNO"
1.3,20.699,0.019,0.0233,25.784,998.079,51.86,2.62,94.56,8.468,"FukuNO"
1.4,20.663,0.019,0.0233,25.793,998.087,60.28,3.31,94.28,8.449,"FukuNO"
1.5,20.521,0.019,0.0233,25.844,998.117,65.97,3.55,93.52,8.399,"FukuNO"
1.6,20.422,0.019,0.0233,25.884,998.139,63.89,3.38,92.27,8.306,"FukuNO"
1.7,20.217,0.018,0.0232,25.973,998.182,40.54,2.32,90.67,8.191,"FukuNO"
1.8,19.797,0.018,0.0227,25.638,998.269,15.35,1.88,89.08,8.129,"FukuNO"
1.9,18.86,0.018,0.0228,26.343,998.456,15.13,2.07,83.37,7.744,"FukuNO"
2,18.682,0.018,0.0225,26.185,998.491,15.51,3.17,77,7.215,"FukuNO"
2.1,16.936,0.018,0.0231,28.083,998.811,26.15,3.9,64.95,6.259,"FukuNO"
2.2,16.002,0.018,0.0233,29.085,998.968,32.17,4.58,52.97,5.219,"FukuNO"
2.3,15.38,0.018,0.0233,29.547,999.067,37.2,5.12,44.5,4.441,"FukuNO"
2.4,14.426,0.018,0.0232,30.221,999.211,47.29,6.38,33.11,3.368,"FukuNO"
2.5,13.897,0.018,0.0232,30.684,999.286,54.08,7.29,26.27,2.705,"FukuNO"
2.6,13.492,0.018,0.0233,31.264,999.341,62.33,8.35,22.12,2.299,"FukuNO"
2.7,12.881,0.018,0.0236,32.118,999.42,79.49,9.98,14.51,1.526,"FukuNO"
2.8,12.302,0.019,0.0248,34.376,999.492,87.73,11.29,11.9,1.266,"FukuNO"
2.9,11.942,0.019,0.0258,36.163,999.534,97.47,12.53,10.59,1.14,"FukuNO"
3,11.553,0.02,0.0265,37.615,999.578,104.28,13.44,9.77,1.062,"FukuNO"
3.1,10.918,0.02,0.027,39.13,999.646,103.65,13.4,8.49,0.934,"FukuNO"
3.2,10.354,0.02,0.0277,40.837,999.701,101.3,13.37,7.01,0.782,"FukuNO"
3.3,9.867,0.021,0.0285,42.694,999.745,96.77,12.94,5.9,0.664,"FukuNO"
3.4,9.454,0.021,0.0282,42.883,999.78,94.56,12,4.57,0.517,"FukuNO"
3.5,9.156,0.023,0.0313,48.045,999.806,86.54,12.74,4.18,0.478,"FukuNO"
3.6,8.745,0.024,0.0329,51.289,999.838,77.04,11.94,3.84,0.443,"FukuNO"
3.7,8.481,0.024,0.0335,52.666,999.857,73.85,11.69,3.51,0.408,"FukuNO"
3.8,8.201,0.025,0.0348,55.157,999.876,67,11.9,3.15,0.369,"FukuNO"
3.9,7.87,0.026,0.0355,56.958,999.897,68.18,11.93,2.59,0.304,"FukuNO"
4,7.712,0.026,0.0367,59.272,999.908,70.36,12.42,2.25,0.265,"FukuNO"
4.1,7.587,0.027,0.0378,61.205,999.916,74.29,12.57,1.86,0.22,"FukuNO"
4.2,7.419,0.029,0.04,65.179,999.926,70.88,13.74,1.72,0.205,"FukuNO"
4.3,7.334,0.029,0.0407,66.514,999.932,73.87,14.06,1.57,0.187,"FukuNO"
4.4,7.199,0.03,0.0424,69.644,999.94,78.59,14.99,1.33,0.16,"FukuNO"
4.5,7.046,0.032,0.0443,73.206,999.949,80.3,16.73,1.14,0.137,"FukuNO"
4.6,6.975,0.033,0.0456,75.599,999.953,96.94,38.26,0.93,0.111,"FukuNO"
4.7,6.847,0.059,0.0825,137.328,999.981,14.66,1166.8,1.32,0.158,"FukuNO"
4.8,6.814,0.069,0.0956,159.391,999.99,0.83,262.87,1.48,0.176,"FukuNO"
4.9,6.856,0.07,0.0974,162.06,999.99,0.31,193.67,1.02,0.123,"FukuNO"
5,6.879,0.07,0.0984,163.613,999.99,0.13,107.17,0.69,0.082,"FukuNO"
