"Lake","Parameter","Value"
"FukuSW","Depth_m",0
"FukuSW","T_C",20.78
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0514
"FukuSW","EC25_uScm",56.66
"FukuSW","Density_kgm3",998.066
"FukuSW","Chla_ugL",17.9
"FukuSW","Turbidity_FTU",1.01
"FukuSW","DO_pc",87.2
"FukuSW","DO_mgL",7.818
"FukuSW","Depth_m",0.1
"FukuSW","T_C",20.768
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0513
"FukuSW","EC25_uScm",56.558
"FukuSW","Density_kgm3",998.069
"FukuSW","Chla_ugL",18.77
"FukuSW","Turbidity_FTU",1.08
"FukuSW","DO_pc",79.19
"FukuSW","DO_mgL",7.099
"FukuSW","Depth_m",0.2
"FukuSW","T_C",20.68
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0511
"FukuSW","EC25_uScm",56.436
"FukuSW","Density_kgm3",998.088
"FukuSW","Chla_ugL",19.89
"FukuSW","Turbidity_FTU",1.08
"FukuSW","DO_pc",73.79
"FukuSW","DO_mgL",6.629
"FukuSW","Depth_m",0.3
"FukuSW","T_C",20.159
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0496
"FukuSW","EC25_uScm",55.549
"FukuSW","Density_kgm3",998.198
"FukuSW","Chla_ugL",18.43
"FukuSW","Turbidity_FTU",1.28
"FukuSW","DO_pc",71.44
"FukuSW","DO_mgL",6.501
"FukuSW","Depth_m",0.4
"FukuSW","T_C",19.658
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0496
"FukuSW","EC25_uScm",56.245
"FukuSW","Density_kgm3",998.301
"FukuSW","Chla_ugL",17.41
"FukuSW","Turbidity_FTU",1.18
"FukuSW","DO_pc",67.2
"FukuSW","DO_mgL",6.154
"FukuSW","Depth_m",0.5
"FukuSW","T_C",19.562
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.05
"FukuSW","EC25_uScm",56.773
"FukuSW","Density_kgm3",998.321
"FukuSW","Chla_ugL",14.68
"FukuSW","Turbidity_FTU",0.99
"FukuSW","DO_pc",64.59
"FukuSW","DO_mgL",5.922
"FukuSW","Depth_m",0.6
"FukuSW","T_C",19.5
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0501
"FukuSW","EC25_uScm",56.944
"FukuSW","Density_kgm3",998.334
"FukuSW","Chla_ugL",14.08
"FukuSW","Turbidity_FTU",0.92
"FukuSW","DO_pc",59.79
"FukuSW","DO_mgL",5.486
"FukuSW","Depth_m",0.7
"FukuSW","T_C",19.468
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.05
"FukuSW","EC25_uScm",56.895
"FukuSW","Density_kgm3",998.341
"FukuSW","Chla_ugL",13.88
"FukuSW","Turbidity_FTU",0.95
"FukuSW","DO_pc",56.67
"FukuSW","DO_mgL",5.203
"FukuSW","Depth_m",0.8
"FukuSW","T_C",19.434
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0499
"FukuSW","EC25_uScm",56.858
"FukuSW","Density_kgm3",998.348
"FukuSW","Chla_ugL",13.83
"FukuSW","Turbidity_FTU",1.11
"FukuSW","DO_pc",52.98
"FukuSW","DO_mgL",4.866
"FukuSW","Depth_m",0.9
"FukuSW","T_C",19.413
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0497
"FukuSW","EC25_uScm",56.692
"FukuSW","Density_kgm3",998.353
"FukuSW","Chla_ugL",14.2
"FukuSW","Turbidity_FTU",0.93
"FukuSW","DO_pc",47.34
"FukuSW","DO_mgL",4.352
"FukuSW","Depth_m",1
"FukuSW","T_C",19.446
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0499
"FukuSW","EC25_uScm",56.843
"FukuSW","Density_kgm3",998.347
"FukuSW","Chla_ugL",13.99
"FukuSW","Turbidity_FTU",0.9
"FukuSW","DO_pc",45.32
"FukuSW","DO_mgL",4.166
"FukuSW","Depth_m",1.1
"FukuSW","T_C",19.378
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0499
"FukuSW","EC25_uScm",56.934
"FukuSW","Density_kgm3",998.361
"FukuSW","Chla_ugL",13.89
"FukuSW","Turbidity_FTU",0.86
"FukuSW","DO_pc",43.8
"FukuSW","DO_mgL",4.028
"FukuSW","Depth_m",1.2
"FukuSW","T_C",19.307
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.0497
"FukuSW","EC25_uScm",56.799
"FukuSW","Density_kgm3",998.375
"FukuSW","Chla_ugL",15.08
"FukuSW","Turbidity_FTU",0.97
"FukuSW","DO_pc",41.06
"FukuSW","DO_mgL",3.782
"FukuSW","Depth_m",1.3
"FukuSW","T_C",19.246
"FukuSW","Salinity",0.031
"FukuSW","Cond_uScm",0.049
"FukuSW","EC25_uScm",56.047
"FukuSW","Density_kgm3",998.388
"FukuSW","Chla_ugL",16.82
"FukuSW","Turbidity_FTU",1.31
"FukuSW","DO_pc",40.03
"FukuSW","DO_mgL",3.692
"FukuSW","Depth_m",1.4
"FukuSW","T_C",18.989
"FukuSW","Salinity",0.029
"FukuSW","Cond_uScm",0.0463
"FukuSW","EC25_uScm",53.357
"FukuSW","Density_kgm3",998.438
"FukuSW","Chla_ugL",20.67
"FukuSW","Turbidity_FTU",1.65
"FukuSW","DO_pc",38.29
"FukuSW","DO_mgL",3.549
"FukuSW","Depth_m",1.5
"FukuSW","T_C",18.308
"FukuSW","Salinity",0.028
"FukuSW","Cond_uScm",0.0433
"FukuSW","EC25_uScm",50.736
"FukuSW","Density_kgm3",998.568
"FukuSW","Chla_ugL",21.48
"FukuSW","Turbidity_FTU",1.68
"FukuSW","DO_pc",34.34
"FukuSW","DO_mgL",3.229
"FukuSW","Depth_m",1.6
"FukuSW","T_C",17.834
"FukuSW","Salinity",0.027
"FukuSW","Cond_uScm",0.0409
"FukuSW","EC25_uScm",48.557
"FukuSW","Density_kgm3",998.656
"FukuSW","Chla_ugL",22.03
"FukuSW","Turbidity_FTU",1.52
"FukuSW","DO_pc",32.08
"FukuSW","DO_mgL",3.055
"FukuSW","Depth_m",1.7
"FukuSW","T_C",17.412
"FukuSW","Salinity",0.027
"FukuSW","Cond_uScm",0.0401
"FukuSW","EC25_uScm",48.181
"FukuSW","Density_kgm3",998.732
