"Lake","Parameter","Value"
"Gg","Depth_m",0
"Gg","T_C",23.998
"Gg","Salinity",0.229
"Gg","Cond_uScm",0.4648
"Gg","EC25_uScm",475.297
"Gg","Density_kgm3",997.472
"Gg","Chla_ugL",0.89
"Gg","Turbidity_FTU",1.97
"Gg","DO_pc",111.38
"Gg","DO_mgL",9.354
"Gg","Depth_m",0.1
"Gg","T_C",23.993
"Gg","Salinity",0.229
"Gg","Cond_uScm",0.4649
"Gg","EC25_uScm",475.41
"Gg","Density_kgm3",997.474
"Gg","Chla_ugL",0.92
"Gg","Turbidity_FTU",1.96
"Gg","DO_pc",111.72
"Gg","DO_mgL",9.381
"Gg","Depth_m",0.2
"Gg","T_C",23.986
"Gg","Salinity",0.229
"Gg","Cond_uScm",0.4649
"Gg","EC25_uScm",475.47
"Gg","Density_kgm3",997.476
"Gg","Chla_ugL",0.88
"Gg","Turbidity_FTU",2
"Gg","DO_pc",111.89
"Gg","DO_mgL",9.396
"Gg","Depth_m",0.3
"Gg","T_C",23.989
"Gg","Salinity",0.229
"Gg","Cond_uScm",0.4645
"Gg","EC25_uScm",475.032
"Gg","Density_kgm3",997.476
"Gg","Chla_ugL",0.87
"Gg","Turbidity_FTU",1.92
"Gg","DO_pc",111.82
"Gg","DO_mgL",9.392
"Gg","Depth_m",0.4
"Gg","T_C",23.991
"Gg","Salinity",0.229
"Gg","Cond_uScm",0.4647
"Gg","EC25_uScm",475.287
"Gg","Density_kgm3",997.476
"Gg","Chla_ugL",1
"Gg","Turbidity_FTU",2.21
"Gg","DO_pc",111.81
"Gg","DO_mgL",9.391
"Gg","Depth_m",0.5
"Gg","T_C",23.985
"Gg","Salinity",0.229
"Gg","Cond_uScm",0.4649
"Gg","EC25_uScm",475.531
"Gg","Density_kgm3",997.478
"Gg","Chla_ugL",1.06
"Gg","Turbidity_FTU",2.41
"Gg","DO_pc",111.9
"Gg","DO_mgL",9.399
"Gg","Depth_m",0.6
"Gg","T_C",23.954
"Gg","Salinity",0.229
"Gg","Cond_uScm",0.4648
"Gg","EC25_uScm",475.762
