"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
0,23.998,0.229,0.4648,475.297,997.472,0.89,1.97,111.38,9.354,"Gg"
0.1,23.993,0.229,0.4649,475.41,997.474,0.92,1.96,111.72,9.381,"Gg"
0.2,23.986,0.229,0.4649,475.47,997.476,0.88,2,111.89,9.396,"Gg"
0.3,23.989,0.229,0.4645,475.032,997.476,0.87,1.92,111.82,9.392,"Gg"
0.4,23.991,0.229,0.4647,475.287,997.476,1,2.21,111.81,9.391,"Gg"
0.5,23.985,0.229,0.4649,475.531,997.478,1.06,2.41,111.9,9.399,"Gg"
0.6,23.954,0.229,0.4648,475.762,997.486,1.06,2.28,112.1,9.419,"Gg"
0.7,23.941,0.23,0.4648,475.865,997.49,1.04,2.27,112.19,9.428,"Gg"
0.8,23.911,0.229,0.4644,475.813,997.498,1,2.17,112.21,9.434,"Gg"
0.9,23.896,0.23,0.4646,476.13,997.502,0.99,2.1,112.07,9.424,"Gg"
1,23.895,0.23,0.4646,476.172,997.503,1.02,2.11,112.08,9.425,"Gg"
1.1,23.885,0.23,0.4643,475.981,997.506,1.13,2.24,112.03,9.423,"Gg"
1.2,23.864,0.23,0.4643,476.205,997.511,1.2,2.42,111.94,9.419,"Gg"
1.3,23.859,0.23,0.4643,476.278,997.513,1.15,2.34,111.79,9.405,"Gg"
1.4,23.86,0.23,0.4643,476.249,997.513,1.13,2.25,111.79,9.407,"Gg"
1.5,23.853,0.23,0.4644,476.387,997.515,1.2,2.36,111.64,9.394,"Gg"
1.6,23.855,0.23,0.4643,476.298,997.515,1.18,2.28,111.58,9.39,"Gg"
1.7,23.855,0.23,0.4643,476.316,997.516,1.15,2.21,111.59,9.39,"Gg"
1.8,23.854,0.23,0.4644,476.412,997.516,1.15,2.29,111.49,9.382,"Gg"
1.9,23.853,0.23,0.4644,476.402,997.517,1.14,2.23,111.55,9.387,"Gg"
2,23.85,0.23,0.4644,476.415,997.518,1.15,2.21,111.45,9.379,"Gg"
2.1,23.849,0.23,0.4645,476.548,997.519,1.23,2.31,111.17,9.355,"Gg"
2.2,23.849,0.23,0.4645,476.535,997.519,1.33,2.39,111.26,9.361,"Gg"
2.3,23.848,0.23,0.4644,476.478,997.52,1.29,2.36,111.25,9.361,"Gg"
2.4,23.846,0.23,0.4644,476.534,997.521,1.25,2.25,111.35,9.371,"Gg"
2.5,23.845,0.23,0.4644,476.531,997.522,1.25,2.17,111.28,9.365,"Gg"
2.6,23.841,0.23,0.4642,476.391,997.523,1.23,2.16,111.22,9.36,"Gg"
2.7,23.832,0.23,0.4642,476.404,997.526,1.23,2.14,111.2,9.36,"Gg"
2.8,23.823,0.23,0.4642,476.523,997.528,1.25,2.2,111.19,9.36,"Gg"
2.9,23.822,0.23,0.4642,476.531,997.529,1.23,2.16,111.19,9.361,"Gg"
3,23.821,0.23,0.4641,476.507,997.53,1.23,2.09,111.15,9.358,"Gg"
3.1,23.819,0.23,0.4641,476.502,997.531,1.21,2.13,110.99,9.344,"Gg"
3.2,23.818,0.23,0.464,476.411,997.531,1.21,2.13,110.84,9.332,"Gg"
3.3,23.816,0.23,0.4641,476.496,997.532,1.18,2.04,110.82,9.331,"Gg"
3.4,23.812,0.23,0.464,476.428,997.534,1.23,2.03,110.86,9.335,"Gg"
3.5,23.804,0.23,0.4638,476.383,997.536,1.19,2.07,110.9,9.34,"Gg"
3.6,23.797,0.23,0.4637,476.323,997.538,1.2,2.04,110.95,9.345,"Gg"
3.7,23.786,0.23,0.4633,476.053,997.541,1.18,2.03,110.81,9.336,"Gg"
3.8,23.707,0.23,0.4641,477.723,997.562,1.3,2.03,110.91,9.363,"Gg"
3.9,23.615,0.232,0.4661,480.77,997.585,1.51,2.04,110.86,9.376,"Gg"
4,23.478,0.234,0.469,485.294,997.621,1.74,2.03,110.66,9.383,"Gg"
4.1,23.338,0.236,0.4715,489.369,997.657,1.89,1.97,110.31,9.377,"Gg"
4.2,23.111,0.24,0.4767,497.394,997.714,2.2,2.03,108.05,9.224,"Gg"
4.3,23.015,0.241,0.478,499.849,997.738,2.17,2.11,106.1,9.073,"Gg"
4.4,22.944,0.241,0.4783,500.951,997.756,2.19,2.04,103.74,8.883,"Gg"
4.5,22.747,0.243,0.4802,505.266,997.805,2.54,2.23,98.4,8.465,"Gg"
4.6,22.603,0.244,0.4806,507.339,997.84,2.73,2.21,95.44,8.236,"Gg"
4.7,22.403,0.245,0.4793,508.388,997.887,2.74,2.07,92.46,8.017,"Gg"
4.8,21.731,0.247,0.4778,514.853,998.042,2.82,2.04,85.59,7.508,"Gg"
4.9,21.395,0.248,0.4765,517.501,998.119,3.13,2.11,82.17,7.257,"Gg"
5,20.692,0.248,0.4691,518.24,998.272,4.72,2.36,75.23,6.753,"Gg"
5.1,20.17,0.249,0.4658,521.181,998.384,6.27,2.27,71.1,6.452,"Gg"
5.2,19.714,0.25,0.4629,523.777,998.479,6.99,2.14,66.45,6.082,"Gg"
5.3,19.319,0.251,0.46,525.689,998.56,8.17,2.29,61.63,5.682,"Gg"
5.4,18.97,0.251,0.4572,527.086,998.629,8.25,2.41,56.76,5.267,"Gg"
5.5,18.341,0.252,0.4521,529.706,998.752,6.1,2.39,47.48,4.457,"Gg"
5.6,18.088,0.251,0.4487,529.196,998.799,5.49,2.53,43.27,4.088,"Gg"
5.7,17.792,0.251,0.445,528.808,998.854,6.36,2.75,39.27,3.734,"Gg"
5.8,17.138,0.251,0.4383,529.949,998.972,8.88,3.19,32.15,3.101,"Gg"
5.9,16.818,0.251,0.436,531.726,999.028,7.74,3.02,29.06,2.82,"Gg"
6,16.196,0.253,0.4321,535.866,999.135,6.22,2.68,23.83,2.338,"Gg"
6.1,15.924,0.253,0.4301,537.391,999.18,5.95,2.57,21.54,2.124,"Gg"
6.2,15.438,0.253,0.4255,538.888,999.259,5.37,2.38,17.62,1.754,"Gg"
6.3,15.237,0.253,0.4227,538.319,999.29,5.54,2.35,15.96,1.597,"Gg"
6.4,14.64,0.254,0.4194,543.16,999.382,5.84,2.31,11.98,1.213,"Gg"
6.5,14.291,0.256,0.4183,547.219,999.434,6.27,2.42,9.41,0.956,"Gg"
6.6,13.983,0.255,0.4143,546.86,999.477,6.26,2.62,7.35,0.753,"Gg"
6.7,13.715,0.26,0.4182,556.312,999.518,7.04,2.5,5.42,0.557,"Gg"
6.8,13.633,0.255,0.4101,546.916,999.526,7.03,2.63,4.49,0.463,"Gg"
6.9,13.473,0.255,0.4085,547.217,999.548,6.87,2.92,4.14,0.43,"Gg"
7,13.198,0.255,0.4059,548.199,999.585,7.75,3.37,3.54,0.37,"Gg"
7.1,13.117,0.255,0.4053,548.805,999.596,7.75,3.53,3.32,0.348,"Gg"
7.2,12.942,0.255,0.4041,549.963,999.619,7.84,3.77,2.9,0.305,"Gg"
7.3,12.757,0.256,0.4036,552.35,999.643,8.68,4.15,2.52,0.266,"Gg"
7.4,12.609,0.257,0.4031,554.117,999.662,9.8,4.69,2.17,0.23,"Gg"
7.5,12.461,0.257,0.4023,555.616,999.681,12.49,5.35,1.89,0.2,"Gg"
7.6,12.369,0.258,0.4021,556.794,999.693,12.87,5.53,1.76,0.187,"Gg"
7.7,12.185,0.259,0.4015,559.136,999.716,13.89,5.78,1.53,0.163,"Gg"
7.8,12.043,0.26,0.4015,561.583,999.734,15.44,6.07,1.32,0.141,"Gg"
7.9,11.971,0.261,0.4023,563.905,999.743,16.67,6.03,1.23,0.132,"Gg"
8,11.843,0.263,0.405,569.958,999.76,14.91,5.81,1.06,0.114,"Gg"
