"Lake","Parameter","Value"
"Hs","Depth_m",0
"Hs","T_C",21.734
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3491
"Hs","EC25_uScm",376.164
"Hs","Density_kgm3",997.969
"Hs","Chla_ugL",1.53
"Hs","Turbidity_FTU",4.97
"Hs","DO_pc",101.76
"Hs","DO_mgL",8.911
"Hs","Depth_m",0.1
"Hs","T_C",21.754
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3489
"Hs","EC25_uScm",375.71
"Hs","Density_kgm3",997.965
"Hs","Chla_ugL",1.47
"Hs","Turbidity_FTU",1.74
"Hs","DO_pc",100.97
"Hs","DO_mgL",8.841
"Hs","Depth_m",0.2
"Hs","T_C",21.748
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3486
"Hs","EC25_uScm",375.512
"Hs","Density_kgm3",997.967
"Hs","Chla_ugL",1.53
"Hs","Turbidity_FTU",1.32
"Hs","DO_pc",100.46
"Hs","DO_mgL",8.797
"Hs","Depth_m",0.3
"Hs","T_C",21.719
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3482
"Hs","EC25_uScm",375.304
"Hs","Density_kgm3",997.974
"Hs","Chla_ugL",1.56
"Hs","Turbidity_FTU",1.2
"Hs","DO_pc",99.57
"Hs","DO_mgL",8.724
"Hs","Depth_m",0.4
"Hs","T_C",21.701
"Hs","Salinity",0.179
"Hs","Cond_uScm",0.3479
"Hs","EC25_uScm",375.115
"Hs","Density_kgm3",997.978
"Hs","Chla_ugL",1.61
"Hs","Turbidity_FTU",1.32
"Hs","DO_pc",99.18
"Hs","DO_mgL",8.694
"Hs","Depth_m",0.5
"Hs","T_C",21.689
"Hs","Salinity",0.179
"Hs","Cond_uScm",0.3479
"Hs","EC25_uScm",375.225
"Hs","Density_kgm3",997.981
"Hs","Chla_ugL",1.63
"Hs","Turbidity_FTU",1.32
"Hs","DO_pc",98.86
"Hs","DO_mgL",8.666
"Hs","Depth_m",0.6
"Hs","T_C",21.674
"Hs","Salinity",0.179
"Hs","Cond_uScm",0.3477
"Hs","EC25_uScm",375.15
"Hs","Density_kgm3",997.985
"Hs","Chla_ugL",1.65
"Hs","Turbidity_FTU",1.22
"Hs","DO_pc",98.48
"Hs","DO_mgL",8.636
"Hs","Depth_m",0.7
"Hs","T_C",21.646
"Hs","Salinity",0.179
"Hs","Cond_uScm",0.3475
"Hs","EC25_uScm",375.131
"Hs","Density_kgm3",997.991
"Hs","Chla_ugL",1.67
"Hs","Turbidity_FTU",1.17
"Hs","DO_pc",98.08
"Hs","DO_mgL",8.606
"Hs","Depth_m",0.8
"Hs","T_C",21.621
"Hs","Salinity",0.179
"Hs","Cond_uScm",0.3475
"Hs","EC25_uScm",375.357
"Hs","Density_kgm3",997.998
"Hs","Chla_ugL",1.73
"Hs","Turbidity_FTU",1.15
"Hs","DO_pc",97.77
"Hs","DO_mgL",8.581
"Hs","Depth_m",0.9
"Hs","T_C",21.607
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3475
"Hs","EC25_uScm",375.48
"Hs","Density_kgm3",998.001
"Hs","Chla_ugL",1.8
"Hs","Turbidity_FTU",1.17
"Hs","DO_pc",97.36
"Hs","DO_mgL",8.549
"Hs","Depth_m",1
"Hs","T_C",21.604
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3474
"Hs","EC25_uScm",375.475
"Hs","Density_kgm3",998.002
"Hs","Chla_ugL",1.8
"Hs","Turbidity_FTU",1.2
"Hs","DO_pc",97.19
"Hs","DO_mgL",8.535
"Hs","Depth_m",1.1
"Hs","T_C",21.586
"Hs","Salinity",0.179
"Hs","Cond_uScm",0.3472
"Hs","EC25_uScm",375.379
"Hs","Density_kgm3",998.007
"Hs","Chla_ugL",1.87
"Hs","Turbidity_FTU",1.27
"Hs","DO_pc",96.91
"Hs","DO_mgL",8.512
"Hs","Depth_m",1.2
"Hs","T_C",21.572
"Hs","Salinity",0.179
"Hs","Cond_uScm",0.3471
"Hs","EC25_uScm",375.42
"Hs","Density_kgm3",998.01
"Hs","Chla_ugL",1.93
"Hs","Turbidity_FTU",1.24
"Hs","DO_pc",96.87
"Hs","DO_mgL",8.511
"Hs","Depth_m",1.3
"Hs","T_C",21.542
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3472
"Hs","EC25_uScm",375.772
"Hs","Density_kgm3",998.018
"Hs","Chla_ugL",1.97
"Hs","Turbidity_FTU",1.33
"Hs","DO_pc",96.56
