"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
0,21.734,0.18,0.3491,376.164,997.969,1.53,4.97,101.76,8.911,"Hs"
0.1,21.754,0.18,0.3489,375.71,997.965,1.47,1.74,100.97,8.841,"Hs"
0.2,21.748,0.18,0.3486,375.512,997.967,1.53,1.32,100.46,8.797,"Hs"
0.3,21.719,0.18,0.3482,375.304,997.974,1.56,1.2,99.57,8.724,"Hs"
0.4,21.701,0.179,0.3479,375.115,997.978,1.61,1.32,99.18,8.694,"Hs"
0.5,21.689,0.179,0.3479,375.225,997.981,1.63,1.32,98.86,8.666,"Hs"
0.6,21.674,0.179,0.3477,375.15,997.985,1.65,1.22,98.48,8.636,"Hs"
0.7,21.646,0.179,0.3475,375.131,997.991,1.67,1.17,98.08,8.606,"Hs"
0.8,21.621,0.179,0.3475,375.357,997.998,1.73,1.15,97.77,8.581,"Hs"
0.9,21.607,0.18,0.3475,375.48,998.001,1.8,1.17,97.36,8.549,"Hs"
1,21.604,0.18,0.3474,375.475,998.002,1.8,1.2,97.19,8.535,"Hs"
1.1,21.586,0.179,0.3472,375.379,998.007,1.87,1.27,96.91,8.512,"Hs"
1.2,21.572,0.179,0.3471,375.42,998.01,1.93,1.24,96.87,8.511,"Hs"
1.3,21.542,0.18,0.3472,375.772,998.018,1.97,1.33,96.56,8.488,"Hs"
1.4,21.5,0.18,0.3472,376.126,998.028,2.12,1.28,96.44,8.485,"Hs"
1.5,21.474,0.18,0.3469,376.125,998.034,2.14,1.29,96.3,8.478,"Hs"
1.6,21.458,0.18,0.347,376.36,998.038,2.25,1.36,96.19,8.471,"Hs"
1.7,21.439,0.18,0.3472,376.725,998.043,2.44,2.09,96.13,8.468,"Hs"
1.8,21.433,0.18,0.3473,376.858,998.044,2.45,1.81,95.99,8.457,"Hs"
1.9,21.425,0.18,0.3474,377.014,998.047,2.49,1.29,95.94,8.454,"Hs"
2,21.422,0.18,0.3475,377.142,998.048,2.54,1.28,95.85,8.446,"Hs"
2.1,21.416,0.18,0.3475,377.211,998.05,2.62,1.29,95.63,8.427,"Hs"
2.2,21.407,0.18,0.3475,377.288,998.052,2.64,1.25,95.52,8.42,"Hs"
2.3,21.397,0.18,0.3474,377.259,998.055,2.68,1.28,95.39,8.411,"Hs"
2.4,21.381,0.18,0.3472,377.217,998.059,2.76,1.25,95.13,8.391,"Hs"
