"Lake","Parameter","Value"
"Sc","Depth_m",0
"Sc","T_C",22.306
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4023
"Sc","EC25_uScm",427.617
"Sc","Density_kgm3",997.859
"Sc","Chla_ugL",1.55
"Sc","Turbidity_FTU",1.47
"Sc","DO_pc",92.28
"Sc","DO_mgL",7.986
"Sc","Depth_m",0.1
"Sc","T_C",22.297
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4024
"Sc","EC25_uScm",427.843
"Sc","Density_kgm3",997.861
"Sc","Chla_ugL",1.52
"Sc","Turbidity_FTU",1.18
"Sc","DO_pc",88.18
"Sc","DO_mgL",7.631
"Sc","Depth_m",0.2
"Sc","T_C",22.295
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4015
"Sc","EC25_uScm",426.929
"Sc","Density_kgm3",997.862
"Sc","Chla_ugL",1.72
"Sc","Turbidity_FTU",1.57
"Sc","DO_pc",86.7
"Sc","DO_mgL",7.505
"Sc","Depth_m",0.3
"Sc","T_C",22.295
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4017
"Sc","EC25_uScm",427.141
"Sc","Density_kgm3",997.862
"Sc","Chla_ugL",1.73
"Sc","Turbidity_FTU",1.4
"Sc","DO_pc",85.56
"Sc","DO_mgL",7.408
"Sc","Depth_m",0.4
"Sc","T_C",22.295
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4015
"Sc","EC25_uScm",426.893
"Sc","Density_kgm3",997.863
"Sc","Chla_ugL",1.88
"Sc","Turbidity_FTU",1.45
"Sc","DO_pc",84.59
"Sc","DO_mgL",7.324
"Sc","Depth_m",0.5
"Sc","T_C",22.293
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4013
"Sc","EC25_uScm",426.755
"Sc","Density_kgm3",997.863
"Sc","Chla_ugL",1.75
"Sc","Turbidity_FTU",1.31
"Sc","DO_pc",83.89
"Sc","DO_mgL",7.264
"Sc","Depth_m",0.6
"Sc","T_C",22.296
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4014
"Sc","EC25_uScm",426.835
"Sc","Density_kgm3",997.863
"Sc","Chla_ugL",1.77
"Sc","Turbidity_FTU",1.27
"Sc","DO_pc",83.63
"Sc","DO_mgL",7.242
"Sc","Depth_m",0.7
"Sc","T_C",22.298
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4013
"Sc","EC25_uScm",426.698
"Sc","Density_kgm3",997.863
"Sc","Chla_ugL",1.82
"Sc","Turbidity_FTU",1.33
