"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
0,22.306,0.205,0.4023,427.617,997.859,1.55,1.47,92.28,7.986,"Sc"
0.1,22.297,0.205,0.4024,427.843,997.861,1.52,1.18,88.18,7.631,"Sc"
0.2,22.295,0.205,0.4015,426.929,997.862,1.72,1.57,86.7,7.505,"Sc"
0.3,22.295,0.205,0.4017,427.141,997.862,1.73,1.4,85.56,7.408,"Sc"
0.4,22.295,0.205,0.4015,426.893,997.863,1.88,1.45,84.59,7.324,"Sc"
0.5,22.293,0.205,0.4013,426.755,997.863,1.75,1.31,83.89,7.264,"Sc"
0.6,22.296,0.205,0.4014,426.835,997.863,1.77,1.27,83.63,7.242,"Sc"
0.7,22.298,0.205,0.4013,426.698,997.863,1.82,1.33,83.05,7.191,"Sc"
0.8,22.299,0.205,0.4013,426.666,997.863,1.84,1.33,82.89,7.178,"Sc"
0.9,22.299,0.205,0.4013,426.674,997.864,1.85,1.22,82.53,7.146,"Sc"
1,22.299,0.205,0.4015,426.879,997.864,1.88,1.29,82.17,7.115,"Sc"
1.1,22.299,0.205,0.4016,426.964,997.865,1.9,1.22,81.87,7.089,"Sc"
1.2,22.302,0.205,0.4017,427.067,997.865,1.9,1.21,81.46,7.052,"Sc"
1.3,22.3,0.205,0.4017,427.099,997.866,1.85,1.15,81.38,7.046,"Sc"
1.4,22.291,0.205,0.4015,426.997,997.868,1.93,1.24,81.2,7.031,"Sc"
1.5,22.287,0.205,0.4014,426.924,997.869,2.01,1.45,81.14,7.028,"Sc"
1.6,22.297,0.205,0.4016,427.013,997.868,1.98,1.2,80.7,6.988,"Sc"
1.7,22.293,0.205,0.4015,426.879,997.869,1.99,1.24,80.69,6.989,"Sc"
1.8,22.276,0.205,0.4015,427.079,997.873,1.95,1.28,80.64,6.984,"Sc"
1.9,22.278,0.205,0.4015,427.08,997.873,1.96,1.2,80.32,6.957,"Sc"
2,22.27,0.205,0.4014,427.006,997.876,2.07,1.32,80.42,6.967,"Sc"
2.1,22.276,0.205,0.4015,427.076,997.875,1.89,1.25,80.2,6.948,"Sc"
2.2,22.26,0.205,0.4012,426.922,997.879,1.98,1.25,80.24,6.955,"Sc"
2.3,22.254,0.205,0.4012,426.994,997.881,2.15,1.27,80.08,6.941,"Sc"
2.4,22.239,0.205,0.4009,426.852,997.885,2.22,1.31,80.03,6.941,"Sc"
2.5,22.152,0.205,0.4004,427.208,997.905,2.04,1.31,80.02,6.951,"Sc"
