"Lake","Parameter","Value"
"St","Depth_m",0
"St","T_C",21.733
"St","Salinity",0.12
"St","Cond_uScm",0.2334
"St","EC25_uScm",251.468
"St","Density_kgm3",997.924
"St","Chla_ugL",0.93
"St","Turbidity_FTU",1.17
"St","DO_pc",115.51
"St","DO_mgL",10.093
"St","Depth_m",0.1
"St","T_C",21.729
"St","Salinity",0.121
"St","Cond_uScm",0.2336
"St","EC25_uScm",251.748
"St","Density_kgm3",997.926
"St","Chla_ugL",0.96
"St","Turbidity_FTU",1.15
"St","DO_pc",115.95
"St","DO_mgL",10.129
"St","Depth_m",0.2
"St","T_C",21.708
"St","Salinity",0.12
"St","Cond_uScm",0.2329
"St","EC25_uScm",251.087
"St","Density_kgm3",997.93
"St","Chla_ugL",0.96
"St","Turbidity_FTU",1.25
"St","DO_pc",116.24
"St","DO_mgL",10.151
"St","Depth_m",0.3
"St","T_C",21.694
"St","Salinity",0.12
"St","Cond_uScm",0.2325
"St","EC25_uScm",250.743
"St","Density_kgm3",997.934
"St","Chla_ugL",0.98
"St","Turbidity_FTU",1.27
"St","DO_pc",115.97
"St","DO_mgL",10.14
"St","Depth_m",0.4
"St","T_C",21.681
"St","Salinity",0.12
"St","Cond_uScm",0.2324
"St","EC25_uScm",250.704
"St","Density_kgm3",997.937
"St","Chla_ugL",0.96
"St","Turbidity_FTU",1.21
"St","DO_pc",116.09
"St","DO_mgL",10.153
"St","Depth_m",0.5
"St","T_C",21.657
"St","Salinity",0.12
"St","Cond_uScm",0.2323
"St","EC25_uScm",250.793
"St","Density_kgm3",997.943
"St","Chla_ugL",1.01
"St","Turbidity_FTU",1.22
"St","DO_pc",116.44
"St","DO_mgL",10.189
"St","Depth_m",0.6
"St","T_C",21.604
"St","Salinity",0.12
"St","Cond_uScm",0.2323
"St","EC25_uScm",251.089
"St","Density_kgm3",997.955
"St","Chla_ugL",1.03
"St","Turbidity_FTU",1.24
"St","DO_pc",116.56
"St","DO_mgL",10.203
"St","Depth_m",0.7
"St","T_C",21.592
"St","Salinity",0.121
"St","Cond_uScm",0.2332
"St","EC25_uScm",252.054
"St","Density_kgm3",997.959
"St","Chla_ugL",1.04
"St","Turbidity_FTU",1.1
"St","DO_pc",117.09
"St","DO_mgL",10.24
"St","Depth_m",0.8
"St","T_C",21.609
"St","Salinity",0.12
"St","Cond_uScm",0.2325
"St","EC25_uScm",251.266
"St","Density_kgm3",997.955
"St","Chla_ugL",1.11
"St","Turbidity_FTU",1.14
"St","DO_pc",117.13
"St","DO_mgL",10.243
"St","Depth_m",0.9
"St","T_C",21.583
"St","Salinity",0.121
"St","Cond_uScm",0.2331
"St","EC25_uScm",252.011
"St","Density_kgm3",997.962
"St","Chla_ugL",1.08
"St","Turbidity_FTU",1.27
"St","DO_pc",116.54
"St","DO_mgL",10.2
"St","Depth_m",1
"St","T_C",21.583
"St","Salinity",0.12
"St","Cond_uScm",0.2324
"St","EC25_uScm",251.342
"St","Density_kgm3",997.962
"St","Chla_ugL",1.25
"St","Turbidity_FTU",1.46
"St","DO_pc",116.68
"St","DO_mgL",10.211
"St","Depth_m",1.1
"St","T_C",21.585
"St","Salinity",0.12
"St","Cond_uScm",0.2325
"St","EC25_uScm",251.358
"St","Density_kgm3",997.962
"St","Chla_ugL",1.18
"St","Turbidity_FTU",1.4
"St","DO_pc",116.6
"St","DO_mgL",10.216
"St","Depth_m",1.2
"St","T_C",21.57
"St","Salinity",0.12
"St","Cond_uScm",0.2323
"St","EC25_uScm",251.257
"St","Density_kgm3",997.966
"St","Chla_ugL",1.18
"St","Turbidity_FTU",1.45
"St","DO_pc",116.7
"St","DO_mgL",10.228
"St","Depth_m",1.3
"St","T_C",21.554
"St","Salinity",0.12
"St","Cond_uScm",0.2323
"St","EC25_uScm",251.344
"St","Density_kgm3",997.97
"St","Chla_ugL",1.12
"St","Turbidity_FTU",1.35
"St","DO_pc",116.8
"St","DO_mgL",10.225
"St","Depth_m",1.4
"St","T_C",21.552
"St","Salinity",0.12
"St","Cond_uScm",0.2324
"St","EC25_uScm",251.502
"St","Density_kgm3",997.971
"St","Chla_ugL",1.07
"St","Turbidity_FTU",1.29
