"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
0,21.733,0.12,0.2334,251.468,997.924,0.93,1.17,115.51,10.093,"St"
0.1,21.729,0.121,0.2336,251.748,997.926,0.96,1.15,115.95,10.129,"St"
0.2,21.708,0.12,0.2329,251.087,997.93,0.96,1.25,116.24,10.151,"St"
0.3,21.694,0.12,0.2325,250.743,997.934,0.98,1.27,115.97,10.14,"St"
0.4,21.681,0.12,0.2324,250.704,997.937,0.96,1.21,116.09,10.153,"St"
0.5,21.657,0.12,0.2323,250.793,997.943,1.01,1.22,116.44,10.189,"St"
0.6,21.604,0.12,0.2323,251.089,997.955,1.03,1.24,116.56,10.203,"St"
0.7,21.592,0.121,0.2332,252.054,997.959,1.04,1.1,117.09,10.24,"St"
0.8,21.609,0.12,0.2325,251.266,997.955,1.11,1.14,117.13,10.243,"St"
0.9,21.583,0.121,0.2331,252.011,997.962,1.08,1.27,116.54,10.2,"St"
1,21.583,0.12,0.2324,251.342,997.962,1.25,1.46,116.68,10.211,"St"
1.1,21.585,0.12,0.2325,251.358,997.962,1.18,1.4,116.6,10.216,"St"
1.2,21.57,0.12,0.2323,251.257,997.966,1.18,1.45,116.7,10.228,"St"
1.3,21.554,0.12,0.2323,251.344,997.97,1.12,1.35,116.8,10.225,"St"
1.4,21.552,0.12,0.2324,251.502,997.971,1.07,1.29,116.54,10.211,"St"
1.5,21.53,0.12,0.232,251.202,997.976,1.13,1.22,116.64,10.218,"St"
1.6,21.527,0.12,0.2322,251.447,997.977,1.27,1.28,116.25,10.199,"St"
1.7,21.525,0.12,0.2324,251.671,997.978,1.33,1.49,116.31,10.202,"St"
1.8,21.501,0.12,0.2317,250.986,997.984,1.25,1.24,116.12,10.192,"St"
1.9,21.479,0.12,0.2318,251.311,997.989,1.16,1.18,116.18,10.205,"St"
2,21.464,0.12,0.2315,251.081,997.993,1.27,1.13,116.34,10.208,"St"
2.1,21.463,0.12,0.2314,250.954,997.993,1.33,1.28,116.08,10.201,"St"
2.2,21.464,0.12,0.2318,251.346,997.994,1.32,1.11,116.47,10.221,"St"
2.3,21.459,0.12,0.2313,250.811,997.995,1.38,1.21,116.11,10.198,"St"
2.4,21.455,0.12,0.2314,251.013,997.997,1.44,1.45,115.92,10.187,"St"
2.5,21.432,0.12,0.2312,250.86,998.002,1.49,1.4,116.18,10.204,"St"
2.6,21.426,0.12,0.2312,250.883,998.004,1.5,1.35,115.93,10.196,"St"
2.7,21.417,0.12,0.2314,251.163,998.006,1.58,1.22,116.18,10.2,"St"
2.8,21.423,0.12,0.231,250.771,998.005,1.57,1.32,115.99,10.194,"St"
2.9,21.41,0.12,0.2313,251.084,998.009,1.45,1.24,115.88,10.193,"St"
3,21.41,0.12,0.2309,250.692,998.009,1.58,1.24,115.97,10.184,"St"
3.1,21.403,0.12,0.2308,250.635,998.011,1.59,1.32,115.99,10.205,"St"
3.2,21.385,0.12,0.2308,250.771,998.016,1.72,1.36,115.74,10.19,"St"
3.3,21.377,0.12,0.2312,251.197,998.018,1.67,1.27,115.95,10.199,"St"
3.4,21.375,0.12,0.2306,250.634,998.019,1.77,1.35,115.66,10.177,"St"
3.5,21.371,0.12,0.2306,250.648,998.02,1.84,1.31,115.46,10.166,"St"
3.6,21.374,0.12,0.2307,250.665,998.02,1.87,1.25,115.36,10.151,"St"
3.7,21.365,0.12,0.2306,250.667,998.022,1.75,1.27,115.45,10.167,"St"
3.8,21.367,0.12,0.2306,250.606,998.022,1.78,1.33,115.38,10.163,"St"
3.9,21.369,0.12,0.2306,250.578,998.022,1.88,1.32,115.1,10.139,"St"
4,21.356,0.12,0.2306,250.66,998.025,1.84,1.31,115.31,10.157,"St"
4.1,21.356,0.12,0.2307,250.781,998.026,1.7,1.25,115.16,10.144,"St"
4.2,21.359,0.12,0.2306,250.697,998.026,1.73,1.22,115.1,10.131,"St"
4.3,21.362,0.12,0.2306,250.682,998.025,1.79,1.21,115.11,10.139,"St"
4.4,21.349,0.12,0.2307,250.888,998.029,1.7,1.18,114.9,10.114,"St"
4.5,21.348,0.12,0.2305,250.676,998.029,1.75,1.28,114.59,10.095,"St"
4.6,21.342,0.12,0.2305,250.707,998.031,1.7,1.28,114.65,10.104,"St"
4.7,21.348,0.12,0.2305,250.67,998.03,1.71,1.2,114.56,10.096,"St"
4.8,21.344,0.12,0.2305,250.607,998.032,1.75,1.29,114.5,10.091,"St"
4.9,21.35,0.12,0.2304,250.55,998.031,1.71,1.28,114.15,10.063,"St"
5,21.342,0.12,0.2304,250.611,998.033,1.78,1.27,114.19,10.069,"St"
5.1,21.334,0.12,0.2305,250.729,998.035,1.8,1.61,114.18,10.069,"St"
5.2,21.322,0.12,0.2306,250.868,998.038,1.72,1.24,114.12,10.059,"St"
5.3,21.319,0.12,0.2306,250.905,998.039,1.73,1.28,113.96,10.049,"St"
5.4,21.289,0.12,0.2307,251.246,998.047,1.75,1.28,113.64,10.03,"St"
5.5,21.288,0.12,0.2307,251.264,998.047,1.83,1.22,113.12,9.981,"St"
5.6,21.137,0.123,0.2364,258.303,998.083,2.04,1.27,113.22,10.04,"St"
5.7,20.494,0.127,0.2396,265.925,998.225,2.17,1.56,112.71,10.124,"St"
5.8,20.136,0.128,0.2401,268.9,998.301,2.27,1.42,111.46,10.056,"St"
5.9,19.957,0.129,0.2404,270.365,998.339,2.3,1.42,110.74,10.052,"St"
6,19.599,0.129,0.2403,272.691,998.413,2.48,1.39,110.39,10.102,"St"
6.1,18.979,0.131,0.2403,276.983,998.539,2.74,1.5,111.93,10.346,"St"
6.2,18.675,0.131,0.2381,276.536,998.598,2.8,1.64,112.95,10.518,"St"
6.3,18.072,0.13,0.2338,275.829,998.712,2.82,1.57,113.11,10.707,"St"
6.4,16.992,0.132,0.231,280.381,998.908,3.08,1.71,113.45,10.951,"St"
6.5,16.429,0.133,0.2302,283.69,999.006,2.96,1.75,115.07,11.213,"St"
6.6,16.135,0.132,0.2267,281.614,999.054,2.79,1.74,116.42,11.405,"St"
6.7,15.768,0.131,0.2239,280.967,999.114,2.7,1.84,117.75,11.647,"St"
6.8,15.055,0.135,0.2272,290.842,999.229,2.69,1.68,125.47,12.535,"St"
6.9,15.269,0.131,0.221,281.135,999.193,2.73,1.79,129.62,12.869,"St"
7,14.827,0.13,0.2173,279.906,999.26,2.8,2.17,133.05,13.398,"St"
7.1,14.229,0.131,0.2156,282.587,999.348,2.87,2.55,134.38,13.743,"St"
7.2,13.664,0.132,0.2148,286.202,999.428,2.98,3.02,137.16,14.171,"St"
7.3,13.4,0.13,0.2111,283.437,999.463,2.86,3.19,139.22,14.452,"St"
7.4,13.103,0.13,0.2085,282.407,999.501,2.85,3.62,140.64,14.738,"St"
7.5,12.665,0.13,0.207,284.076,999.557,2.94,3.7,142.65,15.086,"St"
7.6,12.214,0.132,0.2081,289.482,999.613,2.99,3.91,148.38,15.808,"St"
7.7,12.046,0.13,0.2033,284.393,999.631,2.93,3.86,149.9,16.073,"St"
7.8,11.679,0.13,0.2023,286.182,999.674,2.78,3.8,150.26,16.248,"St"
7.9,11.334,0.131,0.2027,289.862,999.712,2.84,3.81,153.13,16.648,"St"
8,11.136,0.131,0.2004,288.398,999.733,2.73,4.05,154.83,16.889,"St"
8.1,10.982,0.131,0.1998,288.921,999.749,2.65,4.04,154.87,16.978,"St"
8.2,10.956,0.131,0.2008,290.625,999.753,2.65,3.81,156.39,17.138,"St"
8.3,10.917,0.13,0.1992,288.573,999.757,2.65,4.2,156.82,17.223,"St"
8.4,10.676,0.131,0.1983,289.571,999.781,2.59,4.45,157.04,17.368,"St"
8.5,10.389,0.132,0.1995,294.013,999.811,2.45,4.68,157.98,17.545,"St"
8.6,10.298,0.131,0.1975,291.869,999.819,2.53,5.1,156.28,17.37,"St"
8.7,10.164,0.132,0.1973,292.899,999.832,2.37,4.91,155.83,17.411,"St"
8.8,10.156,0.132,0.1972,292.889,999.833,2.55,4.9,153.07,17.068,"St"
8.9,10.141,0.131,0.1966,292.051,999.834,2.7,5.31,152.78,17.04,"St"
9,9.872,0.132,0.1962,294.074,999.859,2.49,5.67,151.93,17.095,"St"
9.1,9.77,0.132,0.1955,294.057,999.868,2.56,6.3,150.57,16.924,"St"
9.2,9.641,0.133,0.1966,296.86,999.881,2.6,6.1,148.51,16.749,"St"
9.3,9.493,0.133,0.1958,297.209,999.893,2.84,6.83,146.73,16.615,"St"
9.4,9.517,0.132,0.1953,296.26,999.892,2.6,6.09,144.3,16.254,"St"
9.5,9.377,0.132,0.1945,296.364,999.903,2.78,7.09,143.33,16.297,"St"
9.6,9.186,0.132,0.1936,296.814,999.919,2.56,6.14,142.34,16.245,"St"
9.7,9.124,0.132,0.1934,297.194,999.924,2.58,6.3,141.2,16.164,"St"
9.8,9.059,0.132,0.1933,297.659,999.93,2.76,6.51,140.08,16.068,"St"
9.9,8.96,0.133,0.193,298.269,999.938,2.47,6.07,138.48,15.927,"St"
10,8.886,0.133,0.1926,298.376,999.944,2.49,6.16,137.48,15.829,"St"
10.1,8.829,0.133,0.1923,298.548,999.948,2.41,5.65,135.64,15.648,"St"
10.2,8.859,0.134,0.1939,300.609,999.947,2.3,4.93,129.42,14.871,"St"
10.3,8.915,0.133,0.1935,299.543,999.943,2.84,6.3,126.34,14.458,"St"
