//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0188
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=481       
StartTime=2021/07/27 12:58:39
EndTime=2021/07/27 13:01:56
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2021/03/10
Ch1=-3.831851e-01,+1.127922e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.332465e+00,+1.069077e-03,-1.252241e-08,+2.876596e-13,-3.472084e-18,+2.511402e-23,+0.000000e+00,+0.000000e+00,
Ch4=-5.72848200e-01,2.197348000e00,-2.07220400e-01,5.839104000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.654597e+00,+7.041750e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.997533e+00,+1.378983e-02,+8.086082e-08,-6.134221e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.141224e+01,+2.110549e+06,-6.080616e+03,+1.064000e-02,+3.900000e-03,+6.760000e-05,+0.000000e+00,+1.000000e+00,
Ch9=-6.053177e+00,+1.066339e-03,-1.261943e-08,+2.927030e-13,-3.579377e-18,+2.588549e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070304000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=200735BA
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],DO [mg/l],Batt. [V],
0.000,25.113,0.000,0.0000,-0.033,997.017,-2.983,-3.36,-3.36,122.97,99.67,8.143,8.49,
0.100,23.635,0.196,0.3959,408.130,997.537,-2.464,3.32,3.32,3.84,126.04,10.630,8.42,
0.200,23.635,0.196,0.3954,407.625,997.537,-2.464,3.36,3.36,3.81,126.84,10.701,8.42,
0.300,23.627,0.196,0.3956,407.958,997.540,-2.462,3.48,3.48,3.70,127.03,10.715,8.43,
0.400,23.625,0.196,0.3950,407.340,997.540,-2.461,3.58,3.58,3.98,127.03,10.723,8.42,
0.500,23.621,0.196,0.3947,407.089,997.542,-2.461,3.64,3.64,3.99,126.96,10.719,8.42,
0.600,23.603,0.196,0.3945,406.986,997.546,-2.456,3.63,3.63,4.11,126.73,10.704,8.42,
0.700,23.607,0.196,0.3946,407.078,997.546,-2.457,3.73,3.73,3.88,126.95,10.720,8.42,
0.800,23.601,0.196,0.3945,407.050,997.548,-2.456,3.82,3.82,4.12,126.98,10.724,8.42,
0.900,23.584,0.196,0.3944,407.095,997.552,-2.452,3.77,3.77,3.92,127.16,10.743,8.42,
1.000,23.576,0.196,0.3942,406.953,997.555,-2.450,3.91,3.91,4.01,127.05,10.737,8.42,
1.100,23.564,0.196,0.3942,407.042,997.558,-2.447,4.05,4.05,4.18,127.09,10.743,8.43,
1.200,23.562,0.196,0.3943,407.180,997.559,-2.446,4.03,4.03,3.99,126.79,10.719,8.43,
1.300,23.563,0.196,0.3943,407.134,997.559,-2.446,4.12,4.12,4.02,126.77,10.716,8.43,
1.400,23.556,0.196,0.3942,407.112,997.562,-2.445,4.11,4.11,3.94,126.87,10.725,8.42,
1.500,23.508,0.196,0.3936,406.907,997.573,-2.433,4.24,4.24,4.16,126.86,10.729,8.43,
1.600,23.488,0.196,0.3938,407.308,997.579,-2.428,4.32,4.32,4.34,126.83,10.735,8.42,
1.700,23.487,0.196,0.3937,407.233,997.580,-2.428,4.45,4.45,4.02,126.67,10.720,8.43,
1.800,23.375,0.196,0.3929,407.480,997.607,-2.401,4.87,4.87,4.11,126.41,10.714,8.43,
1.900,23.065,0.196,0.3903,407.664,997.682,-2.327,5.02,5.02,4.13,126.54,10.793,8.43,
2.000,22.933,0.196,0.3899,408.494,997.714,-2.295,4.91,4.91,4.08,125.38,10.725,8.42,
