//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0188
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=95        
StartTime=2021/07/30 11:41:28
EndTime=2021/07/30 11:41:51
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2021/03/10
Ch1=-3.831851e-01,+1.127922e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.332465e+00,+1.069077e-03,-1.252241e-08,+2.876596e-13,-3.472084e-18,+2.511402e-23,+0.000000e+00,+0.000000e+00,
Ch4=-5.72848200e-01,2.197348000e00,-2.07220400e-01,5.839104000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.654597e+00,+7.041750e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.997533e+00,+1.378983e-02,+8.086082e-08,-6.134221e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.141224e+01,+2.110549e+06,-6.080616e+03,+1.064000e-02,+3.900000e-03,+6.760000e-05,+0.000000e+00,+1.000000e+00,
Ch9=-6.053177e+00,+1.066339e-03,-1.261943e-08,+2.927030e-13,-3.579377e-18,+2.588549e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070304000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=200735BA
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],DO [mg/l],Batt. [V],
0.000,24.047,0.231,0.4680,478.064,997.461,-2.539,0.20,0.20,0.71,99.45,8.150,8.42,
0.100,24.044,0.231,0.4682,478.300,997.463,-2.538,0.67,0.67,1.64,100.52,8.236,8.39,
0.200,24.051,0.230,0.4676,477.560,997.461,-2.540,0.70,0.70,1.85,101.39,8.306,8.39,
0.300,24.047,0.230,0.4675,477.505,997.463,-2.539,0.81,0.81,1.92,102.23,8.375,8.39,
0.400,24.043,0.230,0.4672,477.206,997.464,-2.538,0.82,0.82,1.93,103.09,8.445,8.37,
0.500,24.042,0.230,0.4671,477.139,997.464,-2.538,0.84,0.84,1.99,103.99,8.519,8.36,
0.600,24.021,0.230,0.4667,476.953,997.470,-2.533,0.92,0.92,2.13,105.18,8.616,8.37,
0.700,24.010,0.230,0.4666,476.988,997.473,-2.530,0.92,0.92,2.17,105.80,8.666,8.37,
0.800,24.009,0.230,0.4665,476.929,997.474,-2.530,0.96,0.96,2.23,106.57,8.729,8.36,
0.900,24.011,0.230,0.4664,476.774,997.474,-2.530,0.97,0.97,2.23,106.99,8.763,8.36,
1.000,23.966,0.230,0.4660,476.838,997.485,-2.519,0.96,0.96,2.38,108.30,8.869,8.37,
1.100,23.902,0.230,0.4658,477.292,997.502,-2.503,0.92,0.92,2.23,109.41,8.960,8.36,
1.200,23.882,0.230,0.4657,477.410,997.507,-2.498,1.03,1.03,2.20,110.31,9.033,8.35,
1.300,23.858,0.230,0.4656,477.552,997.513,-2.492,0.92,0.92,2.03,111.67,9.145,8.36,
1.400,23.855,0.230,0.4656,477.646,997.515,-2.492,0.93,0.93,1.96,112.45,9.209,8.37,
1.500,23.854,0.230,0.4656,477.633,997.515,-2.491,0.94,0.94,2.00,113.43,9.290,8.36,
1.600,23.851,0.230,0.4655,477.572,997.517,-2.491,0.93,0.93,1.85,114.80,9.403,8.36,
1.700,23.844,0.230,0.4654,477.535,997.519,-2.489,0.97,0.97,1.89,115.53,9.463,8.33,
1.800,23.843,0.230,0.4654,477.551,997.519,-2.489,1.04,1.04,2.02,116.07,9.507,8.36,
1.900,23.842,0.230,0.4654,477.562,997.520,-2.488,1.13,1.13,2.13,117.34,9.611,8.36,
2.000,23.840,0.230,0.4654,477.547,997.521,-2.488,1.16,1.16,2.21,118.22,9.683,8.33,
2.100,23.840,0.230,0.4653,477.519,997.521,-2.488,1.20,1.20,2.17,119.12,9.756,8.35,
2.200,23.841,0.230,0.4654,477.576,997.522,-2.488,1.21,1.21,2.29,120.16,9.842,8.36,
2.300,23.841,0.230,0.4654,477.550,997.522,-2.488,1.22,1.22,2.17,121.08,9.917,8.33,
2.400,23.841,0.230,0.4655,477.656,997.523,-2.488,1.17,1.17,2.04,122.58,10.040,8.36,
