sampledate;sampletime;depth;do_raw;do_sat;fdom;flag_do_raw
2017-09-29;15:18:00;0;9.45;106.5;10.37;
2017-09-29;15:20:00;2;9.49;107;10.35;
2017-09-29;15:22:00;4;9.43;106.3;10.39;
2017-09-29;15:24:00;6;9.4;105.9;10.42;
2017-09-29;15:26:00;8;9.33;105.1;10.46;
2017-09-29;15:34:00;9;8.91;100.1;10.57;
2017-09-29;15:36:00;10;3.11;33.7;12.46;
2017-09-29;15:38:00;11;1.24;13.3;12.83;
2017-09-29;15:40:00;12;0.41;4.3;13.72;
2017-09-29;15:42:00;13;0.37;3.8;14.91;
2017-09-29;15:44:00;14;0.36;3.6;16.18;
2017-09-29;15:46:00;15;0.36;3.4;16.89;
2017-09-29;15:48:00;16;0.35;3.3;17.26;
2017-09-29;15:50:00;17;0.35;3.3;17.41;
2017-09-29;15:52:00;18;0.35;3.2;17.55;
2017-09-29;15:54:00;19;0.34;3.2;17.65;
2017-09-29;15:56:00;20;0.34;3.1;17.74;
2017-09-29;15:58:00;21;0.33;3.1;17.86;
2017-09-29;16:00:00;22;0.33;3.1;17.89;
2017-10-20;15:40:00;0;8.34;85.3;11.52;
2017-10-20;15:42:00;2;8.29;84.7;11.67;
2017-10-20;15:44:00;4;8.19;83.6;11.73;
2017-10-20;15:46:00;6;7.56;76.7;12;
2017-10-20;15:48:00;8;7.34;74.4;12.02;
2017-10-20;15:50:00;10;7.17;72.6;12.05;
2017-10-20;15:52:00;12;7.08;71.7;12.06;
2017-10-20;15:54:00;14;6.91;70;12.07;
2017-10-20;15:56:00;15;6.78;68.6;12.08;
2017-10-20;15:58:00;16;6.64;67.2;12.1;
2017-10-20;16:00:00;17;0.7;6.7;16.3;
2017-10-20;16:02:00;18;0.47;4.4;17.48;
2017-10-20;16:04:00;19;0.42;3.9;17.56;
2017-10-20;16:07:00;20;0.39;3.6;17.59;
2017-10-20;16:09:00;21;0.38;3.5;17.64;
2017-10-20;16:11:00;22;0.37;3.5;17.76;
2017-10-29;15:35:00;0;6.56;62.5;13.04;
2017-10-29;15:37:00;1;6.56;62.5;13.03;
2017-10-29;15:39:00;2;6.56;62.5;13.03;
2017-10-29;15:41:00;3;6.51;62;13.06;
2017-10-29;15:43:00;4;6.53;62.2;13.04;
2017-10-29;15:45:00;5;6.49;61.8;13.07;
2017-10-29;15:47:00;6;6.49;61.8;13.07;
2017-10-29;15:49:00;7;6.48;61.7;13.08;
2017-10-29;15:51:00;8;6.5;61.8;13.07;
2017-10-29;15:53:00;9;6.49;61.7;13.09;
2017-10-29;15:55:00;10;6.49;61.7;13.09;
2017-10-29;15:57:00;11;6.5;61.8;13.1;
2017-10-29;15:59:00;12;6.57;62.4;13.15;
2017-10-29;16:01:00;13;6.61;62.8;13.15;
2017-10-29;16:03:00;14;6.66;63.3;13.14;
2017-10-29;16:05:00;15;6.71;63.7;13.14;
2017-10-29;16:07:00;16;6.86;65.1;13.15;
2017-10-29;16:09:00;17;6.96;66;13.15;
2017-10-29;16:11:00;18;7.04;66.7;13.15;
2017-10-29;16:13:00;19;7.05;66.7;13.17;
2017-10-29;16:15:00;20;7.01;66.3;13.2;
2017-10-29;16:17:00;21;6.96;65.8;13.22;
2017-10-29;16:19:00;22;6.89;65;13.25;
2017-11-03;15:39:00;0;8.23;75.4;13.31;
2017-11-03;15:41:00;1;8.16;74.9;13.34;
2017-11-03;15:43:00;2;8.12;74.5;13.37;
2017-11-03;15:45:00;3;8.09;74.2;13.39;
