

D-OptoLogger serial number: 2628
Download date: 24:02:2021
Download time: 13:00:10
Site information: 45m
Day/Month/Year,Hour:Minute:Second,Battery volts,Temperature,%DO,PPM
04/02/20,00:00:00,9.4,21.62,122.20,10.762
04/02/20,01:00:00,9.4,21.62,122.38,10.780
04/02/20,02:00:00,9.4,21.61,122.66,10.805
04/02/20,03:00:00,9.4,21.60,122.79,10.819
04/02/20,04:00:00,9.4,21.60,122.99,10.837
04/02/20,05:00:00,9.4,21.59,123.80,10.911
04/02/20,06:00:00,9.4,21.58,123.99,10.929
04/02/20,07:00:00,9.4,21.57,124.54,10.979
04/02/20,08:00:00,9.4,21.53,125.53,11.075
04/02/20,09:00:00,9.4,21.48,126.10,11.137
04/02/20,10:00:00,9.4,21.42,126.40,11.176
04/02/20,11:00:00,9.4,21.37,127.10,11.250
04/02/20,12:00:00,9.4,21.34,127.32,11.275
04/02/20,13:00:00,9.3,21.33,127.95,11.333
04/02/20,14:00:00,9.3,20.00,126.71,11.521
04/02/20,15:00:00,9.3,17.33,120.43,11.561
04/02/20,16:00:00,9.3,15.15,118.79,11.940
04/02/20,17:00:00,9.3,13.97,117.63,12.130
04/02/20,18:00:00,9.3,13.24,117.53,12.319
04/02/20,19:00:00,9.3,12.35,117.57,12.571
04/02/20,20:00:00,9.3,11.42,117.27,12.806
04/02/20,21:00:00,9.3,10.49,117.02,13.056
04/02/20,22:00:00,9.3,9.61,117.30,13.362
04/02/20,23:00:00,9.3,8.81,116.56,13.536
05/02/20,00:00:00,9.3,8.09,116.28,13.741
05/02/20,01:00:00,9.3,7.45,116.16,13.944
05/02/20,02:00:00,9.3,6.87,116.12,14.142
05/02/20,03:00:00,9.3,6.34,115.93,14.308
05/02/20,04:00:00,9.3,5.87,115.68,14.445
05/02/20,05:00:00,9.3,5.44,115.76,14.619
05/02/20,06:00:00,9.3,5.03,115.94,14.794
05/02/20,07:00:00,9.3,5.89,109.97,13.726
05/02/20,08:00:00,9.3,8.14,114.18,13.476
05/02/20,09:00:00,9.3,10.38,118.66,13.275
05/02/20,10:00:00,9.3,8.78,120.11,13.959
05/02/20,11:00:00,9.3,4.81,81.93,10.515
05/02/20,12:00:00,9.3,4.76,81.64,10.490
05/02/20,13:00:00,9.3,4.79,81.64,10.483
05/02/20,14:00:00,9.3,4.78,81.49,10.467
