Date,Depth_m,T_C,O2_mgL,SRP_mgL,NH4-N_mgL
2016-01-27,30,4.43,10.7,0.167,NA
2016-01-27,48,4.28,10.5,0.169,NA
2016-03-15,30,4.32,13.1,0.173,0.02
2016-03-15,35,4.3,13,0.173,0.02
2016-03-15,40,4.28,13,0.175,0.02
2016-03-15,45,4.24,13,0.175,0.03
2016-03-15,48,4.23,13,0.175,0.02
2016-04-12,30,4.8,12.2,0.164,0.02
2016-04-12,40,4.7,11.8,0.168,0.03
2016-04-12,45,4.7,11.7,0.166,0.04
2016-04-12,48,4.7,11.5,0.166,0.04
2016-04-15,30,4.84,12.6,0.172,0.03
2016-04-15,40,4.71,12.1,0.18,0.06
2016-04-15,45,4.7,11.8,0.18,0.08
2016-04-15,48,4.68,11.3,0.182,0.09
2016-05-02,30,4.91,11.4,0.177,0.07
2016-05-02,40,4.72,11.1,0.182,0.13
2016-05-02,45,4.69,10.8,0.182,0.11
2016-05-02,48,4.68,10.7,0.185,0.18
2016-05-18,30,5.1,10.9,0.169,0.01
2016-05-18,40,5,10.5,0.17,0.01
2016-05-18,45,5,10.1,0.17,0.01
2016-05-18,48.6,4.9,9.3,0.179,0.01
2016-06-01,30,5,10.1,0.176,0.02
2016-06-01,35,4.9,9.9,0.177,0.02
2016-06-01,40,4.84,9.4,0.188,0.02
2016-06-01,45,4.82,7.6,0.192,0.01
2016-06-01,48,4.81,5.7,0.211,0.08
2016-06-14,30,5.2,9.8,0.168,0.01
2016-06-14,40,5,9.2,0.173,0.01
2016-06-14,45,5,7.8,0.188,0.03
2016-06-14,48,5,4.7,0.23,0.33
2016-07-07,30,5.11,8.3,0.201,0.03
2016-07-07,35,4.98,7.3,0.19,0.03
2016-07-07,40,4.91,6.2,0.211,0.04
2016-07-07,45,4.89,3.9,0.222,0.2
2016-07-07,48,4.88,0.4,0.307,0.77
2016-07-27,30,5.21,6.8,0.2,0.03
2016-07-27,35,5.12,5.8,0.205,0.04
2016-07-27,40,5.04,5.3,0.209,0.06
2016-07-27,45,4.98,2.7,0.244,0.31
2016-07-27,48,4.98,0,0.288,0.58
2016-08-16,30,5.3,6.3,0.19,0.01
2016-08-16,40,5.1,3.3,0.216,0.03
2016-08-16,45,5.1,0.7,0.254,0.33
2016-08-16,48,5.1,0.3,0.336,0.98
