"depth_1m","vol.inc","area_1m","lake","cumvol","vol_1m","area.inc","inc","alpha"
0,0,667072.42,"gg",4530632.58,4530632.58,25533.905,"0 - 1",Inf
0,638011.58116152,667072.42,"gg_test",4541235.69544262,4541235.69544262,58121.6776769599,"0 - 1",0.0910981546309043
0,523711.348104259,594000,"WS",3217234.51234252,3217234.51234252,140577.303791482,"0 - 1",0.268425162640349
0,527946.55516683,623000,"PS",2905949.61230385,2905949.61230385,190106.889666341,"0 - 1",0.360087375901653
0,3541.2747757824,3900,"fukuSW",12683.6996901994,12683.6996901994,717.450448435191,"0 - 1",0.20259666189746
0,3541.2747757824,3900,"fukuNO",12683.6996901994,12683.6996901994,717.450448435191,"0 - 1",0.20259666189746
0,7920140.92792455,8573558.8,"sc",81474819.1725288,81474819.1725288,1306835.74415091,"0 - 1",0.165001577123876
0,1194983.17649208,1310000,"hs",7452492.79873311,7452492.79873311,230033.647015831,"0 - 1",0.192499485801217
0,4012078.65881327,4120000,"st",111523905.273276,111523905.273276,215842.682373451,"0 - 1",0.0537982180133265
0,5098096.65403431,5140000,"ar",167995406.975187,167995406.975187,83806.6919313893,"0 - 1",0.0164388197436528
1,650188.97,641538.515,"gg",4530632.58,4530632.58,35843.705,"1 - 2",0.0551281345175695
1,584493.156732264,608950.74232304,"gg_test",4541235.69544262,3903224.1142811,48915.1711815516,"1 - 2",0.0836881845717793
1,411856.589002535,453422.696208518,"WS",3217234.51234252,2693523.16423826,83132.2144119656,"1 - 2",0.201847479515385
1,381923.761508504,432893.110333659,"PS",2905949.61230385,2378003.05713702,101938.697650311,"1 - 2",0.266908498302588
1,2919.94339411757,3182.54955156481,"fukuSW",12683.6996901994,9142.42491441704,525.212314894475,"1 - 2",0.179870718025751
1,2919.94339411757,3182.54955156481,"fukuNO",12683.6996901994,9142.42491441704,525.212314894475,"1 - 2",0.179870718025751
1,6804523.42423432,7266723.05584909,"sc",81474819.1725288,73554678.2446043,924399.263229545,"1 - 2",0.135850698953772
1,1003162.78088906,1079966.35298417,"hs",7452492.79873311,6257509.62224102,153607.144190213,"1 - 2",0.153122850166029
1,3809328.60606997,3904157.31762655,"st",111523905.273276,107511826.614463,189657.423113158,"1 - 2",0.0497876247302344
1,5015631.39023018,5056193.30806861,"ar",167995406.975187,162897310.321152,81123.8356768666,"1 - 2",0.0161742020824907
2,614817.24,605694.81,"gg",4530632.58,3880443.61,39800.3,"2 - 3",0.0647351723578865
2,538486.065331428,560035.571141489,"gg_test",4541235.69544262,3318730.95754884,43099.0116201211,"2 - 3",0.0800373758856592
2,341767.473735896,370290.481796552,"WS",3217234.51234252,2281666.57523573,57046.0161213119,"2 - 3",0.166914702261558
2,298620.431462171,330954.412683349,"PS",2905949.61230385,1996079.29562852,64667.9624423556,"2 - 3",0.216555719666314
2,2427.35158096321,2657.33723667033,"fukuSW",12683.6996901994,6222.48152029946,459.971311414239,"2 - 3",0.189495133305623
2,2427.35158096321,2657.33723667033,"fukuNO",12683.6996901994,6222.48152029946,459.971311414239,"2 - 3",0.189495133305623
2,5992087.61184788,6342323.79261954,"sc",81474819.1725288,66750154.82037,700472.361543337,"2 - 3",0.116899552696514
2,868750.420083182,926359.208793956,"hs",7452492.79873311,5254346.84135196,115217.577421548,"2 - 3",0.132624485419548
2,3630198.11751438,3714499.89451339,"st",111523905.273276,103702498.008393,168603.553998025,"2 - 3",0.0464447252023449
2,4935726.76918537,4975069.47239174,"ar",167995406.975187,157881678.930922,78685.406412743,"2 - 3",0.0159420101825713
3,576188.41,565894.51,"gg",4530632.58,3265626.37,47244.895,"3 - 4",0.0819955663460846
3,497225.715774972,516936.559521367,"gg_test",4541235.69544262,2780244.89221741,39421.6874927903,"3 - 4",0.079283283712203
3,291903.551482457,313244.46567524,"WS",3217234.51234252,1939899.10149983,42681.8283855668,"3 - 4",0.146218941731964
3,243687.916417456,266286.450240993,"PS",2905949.61230385,1697458.86416634,45197.0676470748,"3 - 4",0.18547110710918
