"id.lab","date","SRP","NH4_fia","NO3_fia","NO2_fia","DOC","TOC","DIC","TIC","Cl","SO4","NO3_ic","Al_d","B_d","Ca_d","Fe_d","K_d","Mg_d","Mn_d","Na_d","P_d","S_d","Si_d","lake","campaign.no","depth.pre","depth","true.id","T_C","DO_mgL","EC25_uS","BDOC_mgL","CDOC_mgL","HMWS_mgL","BB_mgL","LMWS_mgL","SUVA_hum","SUVA_lcocd","lab_startend","alpha","pH_YSI","conc.CO2.insitu","conc.CO2.insitu.error","conc.CH4.insitu","conc.CH4.insitu.error","alk_ueqiv","conc.CO2.corrected","julian","anox.age.moddelled"
"ar-1 0m",2020-05-26,86,0.04,0,0,7.6,NA,16.6,NA,44.347,77.459,0,0.0035,0.0426,51.745,0.0014,9.1545,9.2925,0.0013,24.75,0.10335,24.855,0,"ar",1," 0m",0,"ar-1-0",NA,NA,NA,6.8,6.798,0.76,5.1,0.94,1.5,1.5,NA,0.0161742020824907,9.4,NA,NA,NA,NA,NA,NA,NA,NA
"ar-1 0m",2020-05-26,86,0.04,0,0,7.6,NA,16.6,NA,44.347,77.459,0,0.0035,0.0426,51.745,0.0014,9.1545,9.2925,0.0013,24.75,0.10335,24.855,0,"ar",1," 0m",0,"ar-1-0",NA,NA,NA,6.8,6.798,0.76,5.1,0.94,1.5,1.5,NA,0.0161742020824907,9.4,NA,NA,NA,NA,NA,NA,NA,NA
"ar-1 5m",2020-05-26,86,0.06,0,0,7.8,NA,16.5,NA,43.821,76.321,0,0.0039,0.04305,51.545,0.0015,9.2235,9.2565,0.0014,24.71,0.10855,25.05,0,"ar",1," 5m",5,"ar-1-5",13.931,11.859,476.424,6.9,7.06,0.796,5.3,0.96,2,1.6,NA,0.015294736504428,9.28,-8.98585305668532,1.11476415083173,0.0380304196531909,0.0190309645246335,0.00145963044656453,2.76655167452338,146,0
"ar-1 5m",2020-05-26,86,0.06,0,0,7.8,NA,16.5,NA,43.821,76.321,0,0.0039,0.04305,51.545,0.0015,9.2235,9.2565,0.0014,24.71,0.10855,25.05,0,"ar",1," 5m",5,"ar-1-5",13.931,11.859,476.424,6.9,7.06,0.796,5.3,0.96,2,1.6,NA,0.015294736504428,9.28,-8.43063741721796,1.1641151404607,0.0359551974413612,0.0182466778424735,0.0014596304467289,2.93970087580087,146,0
"ar-1 20m",2020-05-26,163,0.16,0.41,0.005,7.1,NA,19.2,NA,43.355,75.691,0.421,0.00225,0.042,51.015,0.0012,9.1815,9.105,5e-04,24.35,0.17595,24.59,0,"ar",1," 20m",20,"ar-1-20",6.218,9.777,510.292,NA,NA,NA,NA,NA,NA,NA,NA,0.0161713708594676,7.7,67.2270298262259,4.14788497947389,0.0088411759951695,0.015887966858844,0.00150489276687122,66.030677976435,146,0
"ar-1 20m",2020-05-26,163,0.16,0.41,0.005,7.1,NA,19.2,NA,43.355,75.691,0.421,0.00225,0.042,51.015,0.0012,9.1815,9.105,5e-04,24.35,0.17595,24.59,0,"ar",1," 20m",20,"ar-1-20",6.218,9.777,510.292,NA,NA,NA,NA,NA,NA,NA,NA,0.0161713708594676,7.7,71.6598321825899,4.302305366428,0.016256860851009,0.0164151747895075,0.00150489276687412,70.4584985360592,146,0
"ar-1 30m",2020-05-26,167,0.08,0.49,0.005,7.1,NA,19,NA,43.345,75.581,0.53,0.00255,0.04195,51.18,0.00085,9.296,9.201,5e-04,24.66,0.1779,24.73,0,"ar",1," 30m",30,"ar-1-30",5.71,9.513,512.138,NA,NA,NA,NA,NA,NA,NA,NA,0.0209942119423307,7.6,76.1397489600732,4.47520587056318,0.00145603308355978,0.0153340948958692,0.0014644087587604,75.0445157005166,146,0
"ar-1 30m",2020-05-26,167,0.08,0.49,0.005,7.1,NA,19,NA,43.345,75.581,0.53,0.00255,0.04195,51.18,0.00085,9.296,9.201,5e-04,24.66,0.1779,24.73,0,"ar",1," 30m",30,"ar-1-30",5.71,9.513,512.138,NA,NA,NA,NA,NA,NA,NA,NA,0.0209942119423307,7.6,74.3113874625404,4.47639631732666,0.00148921941392736,0.0154973564397347,0.0014644087587604,73.1990298859075,146,0
"ar-1 40m",2020-05-26,174,0.09,0.52,0.005,7.3,NA,19.3,NA,43.294,75.37,0.549,0.00255,0.0419,51.04,0.00085,9.24,9.114,0.00075,24.4,0.18405,24.66,0,"ar",1," 40m",40,"ar-1-40",5.606,8.252,513.403,NA,NA,NA,NA,NA,NA,NA,NA,0.0417703639401402,7.47,90.6167863971196,5.07553901138874,0.00108862982893374,0.0152089303337292,0.00144852088526493,89.6398595107146,146,0
"ar-1 40m",2020-05-26,174,0.09,0.52,0.005,7.3,NA,19.3,NA,43.294,75.37,0.549,0.00255,0.0419,51.04,0.00085,9.24,9.114,0.00075,24.4,0.18405,24.66,0,"ar",1," 40m",40,"ar-1-40",5.606,8.252,513.403,NA,NA,NA,NA,NA,NA,NA,NA,0.0417703639401402,7.47,89.4953899927658,5.10578054458884,0.00133207811159686,0.0152710612573396,0.00144852088526574,88.4992885427363,146,0
"ar-1 45m",2020-05-26,190,0.17,0.46,0.009,7.4,NA,19.6,NA,43.326,75.328,0.492,0.0026,0.042,50.88,0.00105,9.2515,9.067,0.0023,24.36,0.19875,24.54,0.127666666666667,"ar",1," 45m",45,"ar-1-45",5.593,7.273,514.235,6.6,6.59,0.664,5.02,0.91,1.8,1.7,NA,0.11793067750438,7.39,123.294154813786,6.64279734209476,0.00131498425061266,0.0158118540287744,0.00144176541734215,122.452717680646,146,94
"ar-1 45m",2020-05-26,190,0.17,0.46,0.009,7.4,NA,19.6,NA,43.326,75.328,0.492,0.0026,0.042,50.88,0.00105,9.2515,9.067,0.0023,24.36,0.19875,24.54,0.127666666666667,"ar",1," 45m",45,"ar-1-45",5.593,7.273,514.235,6.6,6.59,0.664,5.02,0.91,1.8,1.7,NA,0.11793067750438,7.39,120.027949640922,6.44849538706173,0.00162238647039314,0.015487750197082,0.00144176541734215,119.180355350327,146,94
"ar-1 46m",2020-05-26,191,0.18,0.46,0.009,7.9,7.6,19.6,NA,43.548,75.6,0.494,0.00285,0.04235,51.265,0.00105,9.407,9.146,0.00195,24.8,0.20255,24.815,0.134533333333333,"ar",1," 46m",46,"ar-1-46",5.584,7.072,514.699,7.35,7.35,0.655,5.2,1.5,1.7,1.5,0.879746835443038,0.198374283757371,7.36,120.903362239564,6.53566115703541,0.00191792653955393,0.0156376448619802,0.00142966544295231,120.056628621241,146,125
"ar-1 46m",2020-05-26,191,0.18,0.46,0.009,7.9,7.6,19.6,NA,43.548,75.6,0.494,0.00285,0.04235,51.265,0.00105,9.407,9.146,0.00195,24.8,0.20255,24.815,0.134533333333333,"ar",1," 46m",46,"ar-1-46",5.584,7.072,514.699,7.35,7.35,0.655,5.2,1.5,1.7,1.5,0.879746835443038,0.198374283757371,7.36,119.446646672093,6.06213892558725,0.00169511764945543,0.0152806230264665,0.00142966544295433,118.573280142914,146,125
"ar-1 48m",2020-05-26,215,0.36,0.39,0.011,7.6,8.1,20.2,NA,43.504,75.454,0.375,0.00305,0.04195,51.105,0.001,9.3985,9.062,0.00605,24.73,0.2239,24.51,0.2846,"ar",1," 48m",48,"ar-1-48",5.576,6.579,516.482,6.99,7.15,0.722,5.07,1.36,1.9,1.5,0.921052631578947,NA,7.08,159.763508736302,8.09088127374149,0.0321259081407827,0.0183464592682446,0.00132356262750338,159.156753624614,146,200
"ar-1 48m",2020-05-26,215,0.36,0.39,0.011,7.6,8.1,20.2,NA,43.504,75.454,0.375,0.00305,0.04195,51.105,0.001,9.3985,9.062,0.00605,24.73,0.2239,24.51,0.2846,"ar",1," 48m",48,"ar-1-48",5.576,6.579,516.482,6.99,7.15,0.722,5.07,1.36,1.9,1.5,0.921052631578947,NA,7.08,155.469365185067,7.35035510855127,0.0308411499558965,0.0181817329815873,0.00132356262750371,154.854063247409,146,200
"sc-1 1m",2020-05-28,0,0.0145,0.0056,0,6.5,NA,23.8,NA,30.329,61.886,0,0.0024,0.0249,58.23,0.00235,2.926,8.3615,0.0073,15.67,0.00965,20.08,0,"sc",1," 1m",1,"sc-1-1",17.325,10.661,431.037,5.7,5.8,1.3,3.9,0.67,1.6,1.5,NA,0.116899552696514,8.49,9.68077286625676,1.58407475276671,0.248104134090836,0.0425279096995935,0.00199013813633324,11.937974213025,NA,NA
