"","date.r","year","month","depth","T_C","EC25_uS","DO_mgL","profile_seq","lake","location","campaign"
"1",2020-05-26,2020,5,0.5,15.068,474.975,12.114,1,"ar","sampling",1
"2",2020-05-26,2020,5,0.6,15.061,474.728,12.109,1,"ar","sampling",1
"3",2020-05-26,2020,5,0.7,15.005,475.084,12.126,1,"ar","sampling",1
"4",2020-05-26,2020,5,0.8,14.976,474.957,12.121,1,"ar","sampling",1
"5",2020-05-26,2020,5,0.9,14.912,476.067,12.152,1,"ar","sampling",1
"6",2020-05-26,2020,5,1,14.895,475.018,12.136,1,"ar","sampling",1
"7",2020-05-26,2020,5,1.1,14.882,474.691,12.14,1,"ar","sampling",1
"8",2020-05-26,2020,5,1.2,14.806,474.757,12.163,1,"ar","sampling",1
"9",2020-05-26,2020,5,1.3,14.502,475.124,12.244,1,"ar","sampling",1
"10",2020-05-26,2020,5,1.4,14.391,476.087,12.229,1,"ar","sampling",1
"11",2020-05-26,2020,5,1.5,14.358,476.575,12.241,1,"ar","sampling",1
"12",2020-05-26,2020,5,1.6,14.332,476.672,12.262,1,"ar","sampling",1
"13",2020-05-26,2020,5,1.7,14.316,476.048,12.264,1,"ar","sampling",1
"14",2020-05-26,2020,5,1.8,14.301,476.084,12.259,1,"ar","sampling",1
"15",2020-05-26,2020,5,1.9,14.278,475.51,12.241,1,"ar","sampling",1
"16",2020-05-26,2020,5,2,14.27,475.515,12.218,1,"ar","sampling",1
"17",2020-05-26,2020,5,2.1,14.271,475.796,12.216,1,"ar","sampling",1
"18",2020-05-26,2020,5,2.2,14.261,475.236,12.17,1,"ar","sampling",1
"19",2020-05-26,2020,5,2.3,14.256,475.291,12.154,1,"ar","sampling",1
"20",2020-05-26,2020,5,2.4,14.257,474.897,12.163,1,"ar","sampling",1
"21",2020-05-26,2020,5,2.5,14.243,475.168,12.114,1,"ar","sampling",1
"22",2020-05-26,2020,5,2.6,14.233,475.29,12.108,1,"ar","sampling",1
