MiniDOT Logger Concatenated Data File
Sensor:             6881-1325
Concatenation Date: 2020Jun10 11:35:14 MESZ

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mitteleuropäische Zeit,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1565388000,           2019-08-09 22:00:00,           2019-08-10 00:00:00,     23.696511,          9.874093,                   116.636272,      0.991754
                1565391600,           2019-08-09 23:00:00,           2019-08-10 01:00:00,     24.012393,          9.436890,                   112.133378,      0.992014
                1565395200,           2019-08-10 00:00:00,           2019-08-10 02:00:00,     23.954198,          9.403592,                   111.616213,      0.992924
                1565398800,           2019-08-10 01:00:00,           2019-08-10 03:00:00,     23.912631,          9.433011,                   111.878363,      0.992826
                1565402400,           2019-08-10 02:00:00,           2019-08-10 04:00:00,     23.862754,          9.422637,                   111.651019,      0.993747
                1565406000,           2019-08-10 03:00:00,           2019-08-10 05:00:00,     23.804567,          9.364298,                   110.838842,      0.991562
                1565409600,           2019-08-10 04:00:00,           2019-08-10 06:00:00,     23.763006,          9.418889,                   111.398155,      0.993519
                1565413200,           2019-08-10 05:00:00,           2019-08-10 07:00:00,     23.704823,          9.487404,                   112.086054,      0.992866
                1565416800,           2019-08-10 06:00:00,           2019-08-10 08:00:00,     23.704823,          9.504460,                   112.287557,      0.993382
                1565420400,           2019-08-10 07:00:00,           2019-08-10 09:00:00,     23.671577,          9.514592,                   112.337111,      0.992789
                1565424000,           2019-08-10 08:00:00,           2019-08-10 10:00:00,     23.580154,          9.415038,                   110.970863,      0.992076
                1565427600,           2019-08-10 09:00:00,           2019-08-10 11:00:00,     23.663266,          9.474504,                   111.846338,      0.992257
                1565431200,           2019-08-10 10:00:00,           2019-08-10 12:00:00,     23.638332,          9.439660,                   111.382818,      0.993748
                1565434800,           2019-08-10 11:00:00,           2019-08-10 13:00:00,     23.771318,          9.484243,                   112.188591,      0.990949
                1565438400,           2019-08-10 12:00:00,           2019-08-10 14:00:00,     23.671577,          9.438057,                   111.433476,      0.991766
                1565442000,           2019-08-10 13:00:00,           2019-08-10 15:00:00,     23.596776,          9.351256,                   110.253549,      0.992632
                1565445600,           2019-08-10 14:00:00,           2019-08-10 16:00:00,     23.405634,          9.234295,                   108.483429,      0.992207
                1565449200,           2019-08-10 15:00:00,           2019-08-10 17:00:00,     23.123108,          8.938864,                   104.453656,      0.992578
                1565452800,           2019-08-10 16:00:00,           2019-08-10 18:00:00,     22.807367,          8.339973,                    96.873162,      0.991442
                1565456400,           2019-08-10 17:00:00,           2019-08-10 19:00:00,     22.541479,          7.852020,                    90.744240,      0.989624
                1565460000,           2019-08-10 18:00:00,           2019-08-10 20:00:00,     22.541479,          8.022507,                    92.714524,      0.991387
                1565463600,           2019-08-10 19:00:00,           2019-08-10 21:00:00,     22.549789,          8.096673,                    93.586498,      0.991385
