MiniDOT Logger Concatenated Data File
Sensor:             6881-1327
Concatenation Date: 2020Jun10 11:36:27 MESZ

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mitteleuropäische Zeit,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1565388000,           2019-08-09 22:00:00,           2019-08-10 00:00:00,     12.780035,          0.116675,                     1.101886,      0.981594
                1565391600,           2019-08-09 23:00:00,           2019-08-10 01:00:00,     12.912002,          0.115051,                     1.089766,      0.981537
                1565395200,           2019-08-10 00:00:00,           2019-08-10 02:00:00,     12.876831,          0.100753,                     0.953584,      0.980885
                1565398800,           2019-08-10 01:00:00,           2019-08-10 03:00:00,     12.665494,          0.112363,                     1.058437,      0.981494
                1565402400,           2019-08-10 02:00:00,           2019-08-10 04:00:00,     12.391714,          0.105307,                     0.985869,      0.981494
                1565406000,           2019-08-10 03:00:00,           2019-08-10 05:00:00,     12.480131,          0.107711,                     1.010390,      0.981087
                1565409600,           2019-08-10 04:00:00,           2019-08-10 06:00:00,     12.276627,          0.111304,                     1.039304,      0.981272
                1565413200,           2019-08-10 05:00:00,           2019-08-10 07:00:00,     12.391714,          0.108766,                     1.018252,      0.981254
                1565416800,           2019-08-10 06:00:00,           2019-08-10 08:00:00,     12.276627,          0.106668,                     0.996015,      0.980991
                1565420400,           2019-08-10 07:00:00,           2019-08-10 09:00:00,     12.338617,          0.101318,                     0.947387,      0.980874
                1565424000,           2019-08-10 08:00:00,           2019-08-10 10:00:00,     12.559624,          0.096474,                     0.906603,      0.981016
                1565427600,           2019-08-10 09:00:00,           2019-08-10 11:00:00,     12.427092,          0.092264,                     0.864453,      0.980469
                1565431200,           2019-08-10 10:00:00,           2019-08-10 12:00:00,     12.267767,          0.092909,                     0.867366,      0.980728
                1565434800,           2019-08-10 11:00:00,           2019-08-10 13:00:00,     12.444776,          0.093209,                     0.873656,      0.980835
                1565438400,           2019-08-10 12:00:00,           2019-08-10 14:00:00,     12.541965,          0.087557,                     0.822479,      0.980413
                1565442000,           2019-08-10 13:00:00,           2019-08-10 15:00:00,     12.267767,          0.090606,                     0.845866,      0.980489
                1565445600,           2019-08-10 14:00:00,           2019-08-10 16:00:00,     11.894754,          0.092453,                     0.855828,      0.980058
                1565449200,           2019-08-10 15:00:00,           2019-08-10 17:00:00,     11.885851,          0.090216,                     0.834951,      0.980393
                1565452800,           2019-08-10 16:00:00,           2019-08-10 18:00:00,     12.019290,          0.092226,                     0.856150,      0.980708
                1565456400,           2019-08-10 17:00:00,           2019-08-10 19:00:00,     12.374019,          0.090568,                     0.847546,      0.980888
                1565460000,           2019-08-10 18:00:00,           2019-08-10 20:00:00,     12.964732,          0.092985,                     0.881796,      0.981196
                1565463600,           2019-08-10 19:00:00,           2019-08-10 21:00:00,     13.420374,          0.168488,                     1.614106,      0.985276
                1565467200,           2019-08-10 20:00:00,           2019-08-10 22:00:00,     14.592826,          0.862221,                     8.475467,      0.994496
                1565470800,           2019-08-10 21:00:00,           2019-08-10 23:00:00,     14.954775,          1.003118,                     9.938105,      0.995033
                1565474400,           2019-08-10 22:00:00,           2019-08-11 00:00:00,     16.374069,          1.697966,                    17.339511,      0.997690
                1565478000,           2019-08-10 23:00:00,           2019-08-11 01:00:00,     15.221145,          0.787586,                     7.847711,      0.992936
                1565481600,           2019-08-11 00:00:00,           2019-08-11 02:00:00,     13.437852,          0.090957,                     0.871701,      0.979780
                1565485200,           2019-08-11 01:00:00,           2019-08-11 03:00:00,     13.157795,          0.090799,                     0.864785,      0.980698
                1565488800,           2019-08-11 02:00:00,           2019-08-11 04:00:00,     12.973517,          0.095130,                     0.902315,      0.981058
                1565492400,           2019-08-11 03:00:00,           2019-08-11 05:00:00,     12.400560,          0.097151,                     0.909696,      0.980678
                1565496000,           2019-08-11 04:00:00,           2019-08-11 06:00:00,     12.161373,          0.096424,                     0.898014,      0.980287
                1565499600,           2019-08-11 05:00:00,           2019-08-11 07:00:00,     11.403527,          0.106346,                     0.973428,      0.980780
                1565503200,           2019-08-11 06:00:00,           2019-08-11 08:00:00,     11.493081,          0.096966,                     0.889396,      0.980778
                1565506800,           2019-08-11 07:00:00,           2019-08-11 09:00:00,     12.267767,          0.090606,                     0.845866,      0.980887
                1565510400,           2019-08-11 08:00:00,           2019-08-11 10:00:00,     12.152500,          0.094209,                     0.877208,      0.980822
                1565514000,           2019-08-11 09:00:00,           2019-08-11 11:00:00,     11.645075,          0.095253,                     0.876733,      0.980588
                1565517600,           2019-08-11 10:00:00,           2019-08-11 12:00:00,     11.903656,          0.090018,                     0.833456,      0.980839
                1565521200,           2019-08-11 11:00:00,           2019-08-11 13:00:00,     11.636143,          0.091811,                     0.844879,      0.980404
                1565524800,           2019-08-11 12:00:00,           2019-08-11 14:00:00,     11.502030,          0.094489,                     0.866855,      0.980562
                1565528400,           2019-08-11 13:00:00,           2019-08-11 15:00:00,     12.019290,          0.089901,                     0.834567,      0.980668
                1565532000,           2019-08-11 14:00:00,           2019-08-11 16:00:00,     11.921457,          0.092154,                     0.853579,      0.980727
                1565535600,           2019-08-11 15:00:00,           2019-08-11 17:00:00,     12.524303,          0.094594,                     0.888229,      0.981682
                1565539200,           2019-08-11 16:00:00,           2019-08-11 18:00:00,     12.806445,          0.100443,                     0.949152,      0.981782
                1565542800,           2019-08-11 17:00:00,           2019-08-11 19:00:00,     13.297934,          0.120418,                     1.150465,      0.983223
                1565546400,           2019-08-11 18:00:00,           2019-08-11 20:00:00,     13.612441,          0.139861,                     1.345572,      0.983966
                1565550000,           2019-08-11 19:00:00,           2019-08-11 21:00:00,     13.525189,          0.119806,                     1.150404,      0.983248
                1565553600,           2019-08-11 20:00:00,           2019-08-11 22:00:00,     13.830210,          0.121508,                     1.174634,      0.983632
                1565557200,           2019-08-11 21:00:00,           2019-08-11 23:00:00,     13.812807,          0.116226,                     1.123141,      0.983385
                1565560800,           2019-08-11 22:00:00,           2019-08-12 00:00:00,     13.925867,          0.221093,                     2.141839,      0.986650
                1565564400,           2019-08-11 23:00:00,           2019-08-12 01:00:00,     14.160254,          0.292001,                     2.843349,      0.987696
                1565568000,           2019-08-12 00:00:00,           2019-08-12 02:00:00,     13.603720,          0.102257,                     0.983603,      0.982447
                1565571600,           2019-08-12 01:00:00,           2019-08-12 03:00:00,     14.012744,          0.218509,                     2.120852,      0.986745
                1565575200,           2019-08-12 02:00:00,           2019-08-12 04:00:00,     13.612441,          0.109869,                     1.057026,      0.982910
                1565578800,           2019-08-12 03:00:00,           2019-08-12 05:00:00,     13.236651,          0.093242,                     0.889614,      0.981662
                1565582400,           2019-08-12 04:00:00,           2019-08-12 06:00:00,     13.034986,          0.094427,                     0.896878,      0.981819
                1565586000,           2019-08-12 05:00:00,           2019-08-12 07:00:00,     12.382867,          0.096205,                     0.900478,      0.981310
                1565589600,           2019-08-12 06:00:00,           2019-08-12 08:00:00,     12.267767,          0.095214,                     0.888885,      0.981166
                1565593200,           2019-08-12 07:00:00,           2019-08-12 09:00:00,     12.161373,          0.091795,                     0.854903,      0.980805
                1565596800,           2019-08-12 08:00:00,           2019-08-12 10:00:00,     12.338617,          0.099013,                     0.925834,      0.981433
                1565600400,           2019-08-12 09:00:00,           2019-08-12 11:00:00,     12.320911,          0.090013,                     0.841342,      0.980828
                1565604000,           2019-08-12 10:00:00,           2019-08-12 12:00:00,     12.116999,          0.091134,                     0.847893,      0.980967
                1565607600,           2019-08-12 11:00:00,           2019-08-12 13:00:00,     11.930356,          0.095557,                     0.885279,      0.981109
                1565611200,           2019-08-12 12:00:00,           2019-08-12 14:00:00,     11.983729,          0.093788,                     0.869946,      0.980932
                1565614800,           2019-08-12 13:00:00,           2019-08-12 15:00:00,     12.639040,          0.087617,                     0.824844,      0.981186
                1565618400,           2019-08-12 14:00:00,           2019-08-12 16:00:00,     12.656677,          0.093092,                     0.876734,      0.981231
                1565622000,           2019-08-12 15:00:00,           2019-08-12 17:00:00,     11.983729,          0.091459,                     0.848343,      0.980892
                1565625600,           2019-08-12 16:00:00,           2019-08-12 18:00:00,     12.762424,          0.089637,                     0.846203,      0.981469
                1565629200,           2019-08-12 17:00:00,           2019-08-12 19:00:00,     13.087640,          0.090476,                     0.860362,      0.981397
                1565632800,           2019-08-12 18:00:00,           2019-08-12 20:00:00,     12.903211,          0.091435,                     0.865905,      0.981196
                1565636400,           2019-08-12 19:00:00,           2019-08-12 21:00:00,     12.612576,          0.093592,                     0.880569,      0.981315
                1565640000,           2019-08-12 20:00:00,           2019-08-12 22:00:00,     12.762424,          0.093027,                     0.878205,      0.981428
                1565643600,           2019-08-12 21:00:00,           2019-08-12 23:00:00,     12.929582,          0.091137,                     0.863592,      0.981465
                1565647200,           2019-08-12 22:00:00,           2019-08-13 00:00:00,     13.070092,          0.090673,                     0.861898,      0.981551
                1565650800,           2019-08-12 23:00:00,           2019-08-13 01:00:00,     13.184088,          0.088279,                     0.841277,      0.981528
                1565654400,           2019-08-13 00:00:00,           2019-08-13 02:00:00,     13.034986,          0.091069,                     0.864983,      0.981460
                1565658000,           2019-08-13 01:00:00,           2019-08-13 03:00:00,     12.603753,          0.091417,                     0.859934,      0.981452
                1565661600,           2019-08-13 02:00:00,           2019-08-13 04:00:00,     12.541965,          0.090973,                     0.854568,      0.981170
                1565665200,           2019-08-13 03:00:00,           2019-08-13 05:00:00,     12.612576,          0.092454,                     0.869862,      0.981395
                1565668800,           2019-08-13 04:00:00,           2019-08-13 06:00:00,     12.630219,          0.092255,                     0.868334,      0.981242
                1565672400,           2019-08-13 05:00:00,           2019-08-13 07:00:00,     12.241182,          0.093208,                     0.869634,      0.981056
                1565676000,           2019-08-13 06:00:00,           2019-08-13 08:00:00,     11.796764,          0.095897,                     0.885727,      0.981431
                1565679600,           2019-08-13 07:00:00,           2019-08-13 09:00:00,     11.850229,          0.092951,                     0.859565,      0.980737
                1565683200,           2019-08-13 08:00:00,           2019-08-13 10:00:00,     11.725419,          0.094350,                     0.870019,      0.981001
