	Zeit	1
S/N		656715
Typ		TG-4100
Beschreibung		Scharmützel 6m
Eigenschaft		Temperature
1	10 Aug 2019 00:00	15.796 °C
2	10 Aug 2019 00:30	16.043 °C
3	10 Aug 2019 01:00	15.946 °C
4	10 Aug 2019 01:30	16.139 °C
5	10 Aug 2019 02:00	16.118 °C
6	10 Aug 2019 02:30	16.517 °C
7	10 Aug 2019 03:00	16.662 °C
8	10 Aug 2019 03:30	16.587 °C
9	10 Aug 2019 04:00	16.444 °C
10	10 Aug 2019 04:30	16.030 °C
11	10 Aug 2019 05:00	15.414 °C
12	10 Aug 2019 05:30	15.081 °C
13	10 Aug 2019 06:00	15.154 °C
14	10 Aug 2019 06:30	14.883 °C
15	10 Aug 2019 07:00	14.846 °C
16	10 Aug 2019 07:30	14.779 °C
17	10 Aug 2019 08:00	14.928 °C
18	10 Aug 2019 08:30	15.414 °C
19	10 Aug 2019 09:00	15.805 °C
20	10 Aug 2019 09:30	16.039 °C
21	10 Aug 2019 10:00	16.009 °C
22	10 Aug 2019 10:30	15.876 °C
23	10 Aug 2019 11:00	15.908 °C
24	10 Aug 2019 11:30	16.151 °C
25	10 Aug 2019 12:00	15.990 °C
26	10 Aug 2019 12:30	16.058 °C
27	10 Aug 2019 13:00	16.127 °C
28	10 Aug 2019 13:30	16.121 °C
29	10 Aug 2019 14:00	16.301 °C
30	10 Aug 2019 14:30	15.718 °C
31	10 Aug 2019 15:00	15.838 °C
32	10 Aug 2019 15:30	15.665 °C
33	10 Aug 2019 16:00	15.626 °C
34	10 Aug 2019 16:30	14.928 °C
35	10 Aug 2019 17:00	15.088 °C
36	10 Aug 2019 17:30	14.985 °C
37	10 Aug 2019 18:00	15.257 °C
38	10 Aug 2019 18:30	15.514 °C
39	10 Aug 2019 19:00	15.241 °C
40	10 Aug 2019 19:30	15.476 °C
41	10 Aug 2019 20:00	15.863 °C
42	10 Aug 2019 20:30	16.210 °C
43	10 Aug 2019 21:00	16.605 °C
44	10 Aug 2019 21:30	16.851 °C
45	10 Aug 2019 22:00	17.052 °C
46	10 Aug 2019 22:30	17.322 °C
47	10 Aug 2019 23:00	17.685 °C
48	10 Aug 2019 23:30	17.276 °C
49	11 Aug 2019 00:00	17.397 °C
50	11 Aug 2019 00:30	17.529 °C
51	11 Aug 2019 01:00	17.795 °C
52	11 Aug 2019 01:30	18.103 °C
53	11 Aug 2019 02:00	18.338 °C
54	11 Aug 2019 02:30	18.475 °C
55	11 Aug 2019 03:00	18.717 °C
56	11 Aug 2019 03:30	18.857 °C
57	11 Aug 2019 04:00	19.220 °C
58	11 Aug 2019 04:30	19.013 °C
59	11 Aug 2019 05:00	19.229 °C
60	11 Aug 2019 05:30	19.421 °C
61	11 Aug 2019 06:00	19.458 °C
62	11 Aug 2019 06:30	19.505 °C
63	11 Aug 2019 07:00	18.731 °C
64	11 Aug 2019 07:30	18.051 °C
65	11 Aug 2019 08:00	18.178 °C
66	11 Aug 2019 08:30	17.919 °C
67	11 Aug 2019 09:00	17.975 °C
68	11 Aug 2019 09:30	17.905 °C
69	11 Aug 2019 10:00	17.236 °C
70	11 Aug 2019 10:30	14.991 °C
71	11 Aug 2019 11:00	15.122 °C
72	11 Aug 2019 11:30	15.244 °C
73	11 Aug 2019 12:00	15.211 °C
74	11 Aug 2019 12:30	15.118 °C
75	11 Aug 2019 13:00	15.379 °C
76	11 Aug 2019 13:30	15.496 °C
77	11 Aug 2019 14:00	14.868 °C
78	11 Aug 2019 14:30	15.049 °C
79	11 Aug 2019 15:00	15.164 °C
80	11 Aug 2019 15:30	15.048 °C
81	11 Aug 2019 16:00	15.270 °C
82	11 Aug 2019 16:30	15.378 °C
83	11 Aug 2019 17:00	15.517 °C
84	11 Aug 2019 17:30	15.893 °C
85	11 Aug 2019 18:00	16.011 °C
86	11 Aug 2019 18:30	15.852 °C
87	11 Aug 2019 19:00	16.239 °C
88	11 Aug 2019 19:30	16.318 °C
89	11 Aug 2019 20:00	16.809 °C
90	11 Aug 2019 20:30	16.727 °C
91	11 Aug 2019 21:00	16.639 °C
