	Zeit	1
S/N		632352
Typ		TG-4100
Beschreibung		Schar 2020
Eigenschaft		Temperature
1	9 Jun 2020 12:00	21.578 °C
2	9 Jun 2020 12:30	7.844 °C
3	9 Jun 2020 13:00	7.592 °C
4	9 Jun 2020 13:30	7.655 °C
5	9 Jun 2020 14:00	7.619 °C
6	9 Jun 2020 14:30	7.625 °C
7	9 Jun 2020 15:00	7.589 °C
8	9 Jun 2020 15:30	7.556 °C
9	9 Jun 2020 16:00	7.567 °C
10	9 Jun 2020 16:30	7.598 °C
11	9 Jun 2020 17:00	7.697 °C
12	9 Jun 2020 17:30	7.736 °C
13	9 Jun 2020 18:00	7.757 °C
14	9 Jun 2020 18:30	7.689 °C
15	9 Jun 2020 19:00	7.677 °C
16	9 Jun 2020 19:30	7.703 °C
17	9 Jun 2020 20:00	7.664 °C
18	9 Jun 2020 20:30	7.674 °C
19	9 Jun 2020 21:00	7.697 °C
20	9 Jun 2020 21:30	7.696 °C
21	9 Jun 2020 22:00	7.672 °C
22	9 Jun 2020 22:30	7.645 °C
23	9 Jun 2020 23:00	7.703 °C
24	9 Jun 2020 23:30	7.653 °C
25	10 Jun 2020 00:00	7.672 °C
26	10 Jun 2020 00:30	7.677 °C
27	10 Jun 2020 01:00	7.594 °C
28	10 Jun 2020 01:30	7.598 °C
29	10 Jun 2020 02:00	7.598 °C
30	10 Jun 2020 02:30	7.616 °C
31	10 Jun 2020 03:00	7.583 °C
32	10 Jun 2020 03:30	7.614 °C
33	10 Jun 2020 04:00	7.639 °C
34	10 Jun 2020 04:30	7.681 °C
35	10 Jun 2020 05:00	7.655 °C
36	10 Jun 2020 05:30	7.616 °C
37	10 Jun 2020 06:00	7.678 °C
38	10 Jun 2020 06:30	7.620 °C
39	10 Jun 2020 07:00	7.620 °C
40	10 Jun 2020 07:30	7.641 °C
41	10 Jun 2020 08:00	7.648 °C
42	10 Jun 2020 08:30	7.637 °C
43	10 Jun 2020 09:00	7.645 °C
44	10 Jun 2020 09:30	7.647 °C
45	10 Jun 2020 10:00	7.609 °C
46	10 Jun 2020 10:30	7.589 °C
47	10 Jun 2020 11:00	7.543 °C
48	10 Jun 2020 11:30	7.529 °C
49	10 Jun 2020 12:00	7.510 °C
50	10 Jun 2020 12:30	7.531 °C
51	10 Jun 2020 13:00	7.567 °C
52	10 Jun 2020 13:30	7.551 °C
53	10 Jun 2020 14:00	7.514 °C
54	10 Jun 2020 14:30	7.514 °C
55	10 Jun 2020 15:00	7.567 °C
56	10 Jun 2020 15:30	7.592 °C
57	10 Jun 2020 16:00	7.612 °C
58	10 Jun 2020 16:30	7.531 °C
59	10 Jun 2020 17:00	7.625 °C
60	10 Jun 2020 17:30	7.669 °C
61	10 Jun 2020 18:00	7.630 °C
62	10 Jun 2020 18:30	7.631 °C
63	10 Jun 2020 19:00	7.619 °C
64	10 Jun 2020 19:30	7.639 °C
65	10 Jun 2020 20:00	7.628 °C
66	10 Jun 2020 20:30	7.645 °C
67	10 Jun 2020 21:00	7.691 °C
68	10 Jun 2020 21:30	7.697 °C
69	10 Jun 2020 22:00	7.669 °C
70	10 Jun 2020 22:30	7.664 °C
71	10 Jun 2020 23:00	7.642 °C
72	10 Jun 2020 23:30	7.639 °C
73	11 Jun 2020 00:00	7.634 °C
74	11 Jun 2020 00:30	7.656 °C
75	11 Jun 2020 01:00	7.688 °C
76	11 Jun 2020 01:30	7.694 °C
77	11 Jun 2020 02:00	7.655 °C
78	11 Jun 2020 02:30	7.680 °C
79	11 Jun 2020 03:00	7.616 °C
80	11 Jun 2020 03:30	7.503 °C
81	11 Jun 2020 04:00	7.479 °C
82	11 Jun 2020 04:30	7.550 °C
83	11 Jun 2020 05:00	7.562 °C
84	11 Jun 2020 05:30	7.581 °C
85	11 Jun 2020 06:00	7.609 °C
86	11 Jun 2020 06:30	7.606 °C
87	11 Jun 2020 07:00	7.594 °C
88	11 Jun 2020 07:30	7.575 °C
89	11 Jun 2020 08:00	7.592 °C
90	11 Jun 2020 08:30	7.595 °C
91	11 Jun 2020 09:00	7.587 °C
92	11 Jun 2020 09:30	7.572 °C
93	11 Jun 2020 10:00	7.568 °C
94	11 Jun 2020 10:30	7.573 °C
95	11 Jun 2020 11:00	7.589 °C
96	11 Jun 2020 11:30	7.565 °C
97	11 Jun 2020 12:00	7.565 °C
98	11 Jun 2020 12:30	7.581 °C
99	11 Jun 2020 13:00	7.592 °C
100	11 Jun 2020 13:30	7.598 °C
101	11 Jun 2020 14:00	7.616 °C
102	11 Jun 2020 14:30	7.633 °C
103	11 Jun 2020 15:00	7.658 °C
104	11 Jun 2020 15:30	7.688 °C
105	11 Jun 2020 16:00	7.747 °C
106	11 Jun 2020 16:30	7.727 °C
107	11 Jun 2020 17:00	7.727 °C
108	11 Jun 2020 17:30	7.703 °C
109	11 Jun 2020 18:00	7.642 °C
110	11 Jun 2020 18:30	7.675 °C
111	11 Jun 2020 19:00	7.639 °C
112	11 Jun 2020 19:30	7.509 °C
113	11 Jun 2020 20:00	7.573 °C
114	11 Jun 2020 20:30	7.625 °C
115	11 Jun 2020 21:00	7.666 °C
116	11 Jun 2020 21:30	7.637 °C
117	11 Jun 2020 22:00	7.589 °C
118	11 Jun 2020 22:30	7.600 °C
119	11 Jun 2020 23:00	7.663 °C
120	11 Jun 2020 23:30	7.699 °C
121	12 Jun 2020 00:00	7.689 °C
122	12 Jun 2020 00:30	7.663 °C
123	12 Jun 2020 01:00	7.606 °C
124	12 Jun 2020 01:30	7.622 °C
125	12 Jun 2020 02:00	7.677 °C
126	12 Jun 2020 02:30	7.672 °C
127	12 Jun 2020 03:00	7.675 °C
128	12 Jun 2020 03:30	7.691 °C
129	12 Jun 2020 04:00	7.647 °C
130	12 Jun 2020 04:30	7.606 °C
131	12 Jun 2020 05:00	7.623 °C
132	12 Jun 2020 05:30	7.617 °C
133	12 Jun 2020 06:00	7.601 °C
134	12 Jun 2020 06:30	7.583 °C
135	12 Jun 2020 07:00	7.639 °C
136	12 Jun 2020 07:30	7.600 °C
137	12 Jun 2020 08:00	7.639 °C
138	12 Jun 2020 08:30	7.650 °C
139	12 Jun 2020 09:00	7.595 °C
140	12 Jun 2020 09:30	7.592 °C
141	12 Jun 2020 10:00	7.587 °C
142	12 Jun 2020 10:30	7.592 °C
143	12 Jun 2020 11:00	7.594 °C
144	12 Jun 2020 11:30	7.589 °C
145	12 Jun 2020 12:00	7.573 °C
146	12 Jun 2020 12:30	7.587 °C
147	12 Jun 2020 13:00	7.606 °C
148	12 Jun 2020 13:30	7.595 °C
149	12 Jun 2020 14:00	7.568 °C
150	12 Jun 2020 14:30	7.548 °C
151	12 Jun 2020 15:00	7.561 °C
152	12 Jun 2020 15:30	7.554 °C
153	12 Jun 2020 16:00	7.531 °C
154	12 Jun 2020 16:30	7.542 °C
155	12 Jun 2020 17:00	7.609 °C
156	12 Jun 2020 17:30	7.540 °C
157	12 Jun 2020 18:00	7.510 °C
158	12 Jun 2020 18:30	7.517 °C
159	12 Jun 2020 19:00	7.663 °C
160	12 Jun 2020 19:30	7.631 °C
161	12 Jun 2020 20:00	7.600 °C
162	12 Jun 2020 20:30	7.583 °C
163	12 Jun 2020 21:00	7.578 °C
164	12 Jun 2020 21:30	7.594 °C
165	12 Jun 2020 22:00	7.617 °C
166	12 Jun 2020 22:30	7.611 °C
167	12 Jun 2020 23:00	7.631 °C
168	12 Jun 2020 23:30	7.663 °C
169	13 Jun 2020 00:00	7.595 °C
170	13 Jun 2020 00:30	7.685 °C
171	13 Jun 2020 01:00	7.655 °C
172	13 Jun 2020 01:30	7.641 °C
173	13 Jun 2020 02:00	7.672 °C
174	13 Jun 2020 02:30	7.696 °C
175	13 Jun 2020 03:00	7.700 °C
176	13 Jun 2020 03:30	7.691 °C
177	13 Jun 2020 04:00	7.680 °C
178	13 Jun 2020 04:30	7.692 °C
179	13 Jun 2020 05:00	7.680 °C
180	13 Jun 2020 05:30	7.675 °C
181	13 Jun 2020 06:00	7.747 °C
182	13 Jun 2020 06:30	7.719 °C
183	13 Jun 2020 07:00	7.634 °C
184	13 Jun 2020 07:30	7.609 °C
185	13 Jun 2020 08:00	7.622 °C
186	13 Jun 2020 08:30	7.550 °C
187	13 Jun 2020 09:00	7.531 °C
