lake,logger,class,parameter,deploy_start,deploy_end,serial,depth,deployment_id
gg,log01,minid,DO,2018-09-05 12:00,2019-06-18 08:30,273186,2,1
gg,log02,minid,DO,2018-09-05 12:00,2019-06-18 08:30,246451,8,1
gg,log01,TG-4100,T,2018-09-05 12:00,2019-06-18 08:30,664469,1,1
gg,log02,TG-4100,T,2018-09-05 12:00,2019-06-18 08:30,590717,5,1
gg,log03,TG-4100,T,2018-09-05 12:00,2019-06-18 08:30,664477,6,1
gg,log04,TG-4100,T,2018-09-05 12:00,2019-06-18 08:30,590716,9.5,1
gg,log01,minid,DO,2019-06-13 11:25,2020-04-12 10:55,373091,2,2
gg,log02,minid,DO,2019-06-13 11:25,2020-04-12 10:55,688166,8,2
gg,log01,TG-4100,T,2019-06-18 08:30,2020-04-12 10:55,590528,1,2
gg,log02,TG-4100,T,2019-06-18 08:30,2020-04-12 10:55,664482,5,2
gg,log03,TG-4100,T,2019-06-18 08:30,2020-04-12 10:55,632358,6,2
gg,log04,TG-4100,T,2019-06-18 08:30,2020-04-12 10:55,656718,9.5,2
hs,log01,minid,DO,2017-09-28 08:00,2018-05-29 23:00,1314,1,1
hs,log02,minid,DO,2017-09-28 08:00,2018-05-29 23:00,1329,5,1
hs,log03,TG-4100,T,2017-09-28 08:00,2019-03-19 14:00,590715,8,1
hs,log04,TG-4100,T,2017-09-28 08:00,2019-03-19 14:00,658049,10.5,1
hs,log01,minid,DO,2018-05-29 11:00,2019-03-19 14:00,1326,1,2
hs,log02,minid,DO,2018-05-29 11:00,2019-03-19 14:00,1322,5,2
