"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"Observed2017",340,340,336,335,328,304,300,296,295,287,279,264,255,247,239,225,223,193
"Loggers.linear.AA.2017.FirstaaDOY",291,290,288,287,285,283,281,279,276,272,268,263,257,250,240,227,209,180
"Loggers.log.AA.2017.FirstaaDOY",Inf,337,328,318,309,299,290,281,271,262,252,243,233,223,213,203,191,178
"Loggers.exp.AA.2017.FirstaaDOY",Inf,333,327,319,312,304,295,286,277,267,257,246,235,223,212,200,188,178
"YSI.linear.AA.2017.FirstaaDOY",270,270,270,270,270,270,270,269,269,269,268,268,267,266,265,262,259,250
"YSI.log.AA.2017.FirstaaDOY",Inf,Inf,Inf,322,316,310,304,298,291,284,277,269,261,252,242,231,219,203
"YSI.exp.AA.2017.FirstaaDOY",323,321,318,315,313,309,305,301,296,291,285,277,269,259,247,232,214,191
"Best.linear.AA.2017.FirstaaDOY",239,239,239,239,238,238,238,238,238,238,238,238,237,237,236,236,234,231
"Best.log.AA.2017.FirstaaDOY",277,275,273,270,268,265,262,259,256,253,249,245,241,236,230,224,216,205
"Best.exp.AA.2017.FirstaaDOY",292,290,288,286,283,280,277,273,269,264,259,253,246,238,228,217,205,191
"Observed2018",Inf,Inf,Inf,Inf,344,344,342,322,317,297,263,263,249,243,221,200,193,182
"Loggers.linear.AA.2018.FirstaaDOY",309,307,305,303,300,298,294,291,287,282,277,270,263,254,243,229,211,187
"Loggers.log.AA.2018.FirstaaDOY",Inf,356,340,326,312,298,286,274,263,253,243,234,225,216,207,199,190,181
"Loggers.exp.AA.2018.FirstaaDOY",Inf,359,346,333,320,307,295,282,270,259,247,236,226,215,206,197,189,182
"YSI.linear.AA.2018.FirstaaDOY",357,353,350,346,341,337,331,325,318,311,302,292,281,268,252,234,213,186
"YSI.log.AA.2018.FirstaaDOY",Inf,Inf,Inf,Inf,Inf,364,346,329,313,298,283,270,257,244,232,220,207,194
"YSI.exp.AA.2018.FirstaaDOY",Inf,Inf,Inf,Inf,Inf,361,348,335,322,308,294,279,265,250,235,220,205,192
"Best.linear.AA.2018.FirstaaDOY",281,280,278,277,275,274,272,269,267,264,260,256,251,244,236,226,211,190
"Best.log.AA.2018.FirstaaDOY",350,340,331,321,312,302,293,284,275,266,258,249,240,232,223,214,204,193
"Best.exp.AA.2018.FirstaaDOY",Inf,Inf,Inf,365,344,325,308,292,278,264,252,241,231,222,214,207,203,201
"Observed2019",329,301,299,298,292,289,275,273,253,251,247,243,235,221,219,205,196,185
"Loggers.linear.AA.2019.FirstaaDOY",281,281,280,279,278,276,275,273,271,269,266,263,258,253,245,235,220,195
"Loggers.log.AA.2019.FirstaaDOY",311,306,301,296,291,286,280,275,269,262,256,249,242,234,226,217,207,194
"Loggers.exp.AA.2019.FirstaaDOY",320,315,309,303,297,291,284,277,269,261,253,245,236,227,219,210,203,198
"YSI.linear.AA.2019.FirstaaDOY",279,278,277,277,275,274,273,271,269,267,265,261,257,252,245,235,220,196
"YSI.log.AA.2019.FirstaaDOY",301,297,294,290,286,282,278,273,269,264,258,253,246,240,233,224,215,203
"YSI.exp.AA.2019.FirstaaDOY",301,298,295,291,288,284,280,275,270,264,258,252,245,238,230,221,213,207
"Best.linear.AA.2019.FirstaaDOY",285,284,283,282,281,280,278,276,274,272,269,265,261,255,248,237,221,196
"Best.log.AA.2019.FirstaaDOY",317,312,308,303,299,293,288,283,277,271,265,258,251,243,235,226,215,201
"Best.exp.AA.2019.FirstaaDOY",307,304,302,299,295,292,288,283,278,273,267,260,253,244,235,224,213,202
"Observed2020",262,244,242,234,234,231,225,222,216,212,207,199,194,190,187,181,177,170
"Loggers.linear.AA.2020.FirstaaDOY",256,255,254,253,252,251,249,247,245,242,239,235,230,224,217,206,192,169
